##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
680.4340, 9741.414
680.9161, 9901.706
681.3982, 10125.05
681.8803, 10374.07
682.3624, 10581.79
682.8445, 10754.86
683.3267, 10945.95
683.8088, 11172.00
684.2909, 11410.59
684.7730, 11637.12
685.2551, 11851.76
685.7372, 12052.86
686.2194, 12194.86
686.7015, 12378.49
687.1836, 12668.18
687.6657, 12992.74
688.1478, 13272.25
688.6299, 13492.08
689.1121, 13699.45
689.5942, 13935.71
690.0763, 14189.67
690.5584, 14422.24
691.0405, 14632.73
691.5226, 14857.26
692.0048, 15115.10
692.4869, 15388.32
692.9690, 15654.71
693.4511, 15916.68
693.9332, 16162.49
694.4153, 16382.19
694.8975, 16597.52
695.3796, 16812.04
695.8617, 17032.24
696.3438, 17274.00
696.8259, 17539.59
697.3080, 17787.21
697.7902, 17958.11
698.2723, 18065.51
698.7544, 18195.94
699.2365, 18357.80
699.7186, 18506.74
700.2007, 18619.70
700.6829, 18707.76
701.1650, 18790.66
701.6471, 18867.99
702.1292, 18941.77
702.6113, 19004.91
703.0934, 19071.45
703.5756, 19167.72
704.0577, 19270.99
704.5398, 19336.15
705.0219, 19344.74
705.5040, 19325.67
705.9861, 19319.56
706.4683, 19324.02
706.9504, 19297.57
707.4325, 19228.50
707.9146, 19163.68
708.3967, 19138.11
708.8788, 19128.34
709.3610, 19082.18
709.8431, 18992.60
710.3252, 18891.29
710.8073, 18791.10
711.2894, 18675.42
