##NAMES=Chlorartinite
##RRUFFID=R060878
##IDEAL CHEMISTRY=Mg_2_CO_3_Cl(OH)&#183;2.5H_2_O
##LOCALITY=500m level, Quarry of Udachnaya-Vostochnaya pipe, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fibrous mass, associated with larger crystals of aragonite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R060878
582.0849, 3.108749
582.5670, 3.466011
583.0491, 3.920509
583.5313, 4.339088
584.0134, 4.664467
584.4955, 4.925507
584.9776, 5.162201
585.4597, 5.374077
585.9418, 5.512985
586.4240, 5.456474
586.9061, 5.338394
587.3882, 5.255684
587.8703, 5.186813
588.3524, 5.287292
588.8345, 5.815392
589.3167, 6.360428
589.7988, 6.597298
590.2809, 6.310272
590.7630, 6.233826
591.2451, 6.468391
591.7272, 6.888245
592.2094, 7.266388
592.6915, 7.595825
593.1736, 7.966866
593.6557, 8.509102
594.1378, 9.076447
594.6199, 9.239639
595.1021, 9.024818
595.5842, 8.778770
596.0663, 8.697235
596.5484, 8.750023
597.0305, 8.946770
597.5126, 9.295364
597.9948, 9.538483
598.4769, 9.339508
598.9590, 9.081245
599.4411, 9.124214
599.9232, 9.887428
600.4053, 10.33745
600.8875, 10.10862
601.3696, 9.585564
601.8517, 9.270309
602.3338, 9.176216
602.8159, 9.203796
603.2980, 9.417862
603.7802, 9.708656
604.2623, 9.760811
604.7444, 9.565109
605.2265, 9.306900
605.7086, 9.043243
606.1907, 8.784660
606.6729, 8.552177
607.1550, 8.346313
607.6371, 8.204437
608.1192, 8.242393
608.6013, 8.327667
609.0834, 8.300812
609.5656, 8.137886
610.0477, 7.849953
610.5298, 7.266731
611.0119, 6.643600
611.4940, 6.254112
611.9761, 6.513321
612.4583, 6.590736
612.9404, 6.262894
613.4225, 5.695374
613.9046, 5.210175
614.3867, 4.741455
614.8688, 4.530174
615.3510, 4.817055
615.8331, 5.441620
616.3152, 5.241943
616.7973, 4.128304
617.2794, 3.074074
