##NAMES=Rooseveltite
##RRUFFID=R060804
##IDEAL CHEMISTRY=Bi^3+^As^5+^O_4_
##LOCALITY=Josef mine, Moldava, Czech. Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-gray ill-formed grains, somewhat in spherical shapes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060804
412.7210, 383.1025
413.2031, 344.3184
413.6852, 288.8857
414.1674, 226.6113
414.6495, 180.0664
415.1316, 165.7129
415.6137, 162.4209
416.0958, 148.4189
416.5779, 125.8281
417.0601, 107.0156
417.5422, 106.7979
418.0243, 110.7383
418.5064, 105.1631
418.9885, 82.83691
419.4706, 60.38184
419.9528, 42.26172
420.4349, 29.83789
420.9170, 24.74902
421.3991, 32.26660
421.8812, 44.02930
422.3633, 58.23438
422.8455, 75.94043
423.3276, 90.01660
423.8097, 99.18066
424.2918, 104.6533
424.7739, 107.6523
425.2560, 105.0186
425.7382, 104.0293
426.2203, 105.2344
426.7024, 108.6758
427.1845, 113.9805
427.6666, 119.2285
428.1487, 128.6484
428.6309, 144.8125
429.1130, 168.6895
429.5951, 196.1357
430.0772, 229.2031
430.5593, 263.0889
431.0414, 288.6025
431.5236, 304.8027
432.0057, 317.4922
432.4878, 328.2578
432.9699, 337.3301
433.4520, 344.1982
433.9341, 347.6992
434.4162, 356.5557
434.8983, 385.2158
435.3805, 428.8770
435.8626, 466.2705
436.3447, 492.3857
436.8268, 508.9307
437.3089, 511.0342
437.7910, 502.3174
438.2732, 502.7783
438.7553, 523.1455
439.2374, 560.8789
439.7195, 617.7969
440.2016, 699.7285
440.6837, 777.7344
441.1659, 830.5752
441.6480, 867.8242
442.1301, 902.3174
442.6122, 932.5488
443.0943, 965.4307
443.5764, 1010.745
444.0586, 1068.375
444.5407, 1108.330
445.0228, 1110.134
445.5049, 1098.925
445.9870, 1094.086
446.4691, 1102.165
446.9513, 1110.238
447.4334, 1112.169
447.9155, 1112.591
448.3976, 1124.833
448.8797, 1168.635
449.3618, 1200.150
449.8440, 1199.661
450.3261, 1158.199
450.8082, 1127.912
451.2903, 1112.279
451.7724, 1101.048
452.2545, 1078.475
452.7367, 1040.943
453.2188, 1015.707
453.7009, 1012.578
454.1830, 1025.488
454.6651, 1039.567
455.1472, 1055.421
455.6294, 1058.327
456.1115, 1019.847
456.5936, 956.7930
457.0757, 933.6143
457.5578, 965.8008
458.0399, 1013.337
458.5221, 1026.646
459.0042, 1016.722
459.4863, 1015.275
459.9684, 1041.743
460.4505, 1080.154
460.9326, 1117.154
461.4148, 1152.972
461.8969, 1186.690
462.3790, 1213.657
462.8611, 1238.517
463.3432, 1264.564
463.8253, 1295.010
464.3075, 1327.249
464.7896, 1363.642
465.2717, 1401.386
465.7538, 1433.509
466.2359, 1450.762
466.7180, 1469.646
467.2002, 1496.924
467.6823, 1534.992
468.1644, 1573.490
468.6465, 1617.179
469.1286, 1657.645
469.6107, 1685.574
