##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
249.3337, 89.27747
249.8159, 89.90851
250.2980, 89.60266
250.7801, 88.90387
251.2622, 88.69879
251.7443, 89.11353
252.2264, 89.79828
252.7086, 90.96484
253.1907, 92.25641
253.6728, 93.32587
254.1549, 94.03650
254.6370, 94.66241
255.1191, 95.46619
255.6013, 96.52258
256.0834, 97.69965
256.5655, 99.29364
257.0476, 100.6957
257.5297, 101.5822
258.0118, 101.8614
258.4940, 101.5870
258.9761, 100.7916
259.4582, 99.31073
259.9403, 97.74823
260.4224, 96.41315
260.9045, 94.73804
261.3867, 92.32355
261.8688, 89.16809
262.3509, 85.61334
262.8330, 81.97937
263.3151, 78.16437
263.7972, 74.67615
264.2794, 71.45178
264.7615, 68.54120
265.2436, 66.23682
265.7257, 64.37421
266.2078, 62.31238
266.6899, 59.33185
267.1721, 55.19135
267.6542, 51.89899
268.1363, 49.72473
268.6184, 47.94073
269.1005, 46.35370
269.5826, 44.83832
270.0648, 43.20355
270.5469, 41.16864
271.0290, 38.71411
271.5111, 36.95728
271.9932, 36.82837
272.4753, 36.34052
272.9575, 34.19025
273.4396, 30.90649
273.9217, 28.07684
274.4038, 26.86407
274.8859, 27.08801
275.3680, 26.52985
275.8501, 24.55261
276.3322, 22.65167
276.8144, 21.34222
277.2965, 20.50049
277.7786, 19.78864
278.2607, 19.04840
278.7428, 18.26184
279.2249, 17.32159
279.7071, 15.84198
280.1892, 14.69275
280.6713, 14.42194
281.1534, 14.61127
281.6355, 14.43518
282.1176, 13.48297
282.5998, 12.12140
283.0819, 11.34576
283.5640, 11.40271
284.0461, 11.40546
284.5282, 11.39020
285.0103, 11.20325
285.4925, 10.41461
285.9746, 8.810608
286.4567, 7.065796
286.9388, 6.471313
287.4209, 7.543152
287.9030, 7.972595
288.3852, 6.872314
288.8673, 5.162292
289.3494, 3.916748
289.8315, 3.372437
290.3136, 3.237915
290.7957, 3.251282
291.2779, 3.456543
291.7600, 3.523254
292.2421, 3.377014
292.7242, 3.094727
293.2063, 2.661926
293.6884, 2.084412
294.1706, 1.620544
294.6527, 1.495972
295.1348, 1.763489
295.6169, 2.243713
296.0990, 3.629578
296.5811, 4.728699
297.0633, 4.305359
297.5454, 2.450684
298.0275, 0.5739750
298.5096, 0.4201050
298.9917, 0.5402830
299.4738, 0.3918460
299.9560, 0.3981320
300.4381, 1.114685
300.9202, 1.246765
301.4023, 0.9017330
301.8844, 0.5777590
302.3665, 0.5083620
302.8487, 0.6624760
303.3308, 0.9473880
303.8129, 1.630005
304.2950, 2.003723
304.7771, 1.398438
305.2592, 0.2213750
305.7414, 0.4232180
306.2235, 3.9917000E-02
306.7056, 0.9070430
307.1877, 1.623474
307.6698, 2.204041
308.1519, 2.372009
308.6341, 1.835510
309.1162, 0.8709110
309.5983, 0.1989140
310.0804, 1.387512
310.5625, 2.226379
311.0446, 1.716980
311.5268, 0.2111820
312.0089, 1.432068
312.4910, 0.8824460
312.9731, 0.2932740
313.4552, 0.6924440
313.9373, 9.5702998E-02
314.4195, 0.7616580
314.9016, 1.308350
315.3837, 1.527832
315.8658, 1.451965
316.3479, 0.7846070
316.8300, 3.1128000E-02
317.3121, 0.3618160
317.7943, 0.4028930
318.2764, 0.3970950
318.7585, 0.5363770
319.2406, 0.7956540
319.7227, 1.030823
320.2048, 1.212219
320.6870, 1.399353
321.1691, 1.692322
321.6512, 2.032776
322.1333, 2.214355
322.6154, 2.113007
323.0975, 1.816864
323.5797, 1.524384
324.0618, 1.148499
324.5439, 0.9423220
325.0260, 1.317841
325.5081, 1.879883
325.9902, 1.774933
326.4724, 0.6357730
326.9545, 0.8783870
327.4366, 1.756134
327.9187, 1.965851
328.4008, 1.949554
328.8829, 1.563934
329.3651, 1.091492
329.8472, 0.8989260
330.3293, 1.048553
330.8114, 1.273621
331.2935, 1.326965
331.7756, 1.188599
332.2578, 0.9649960
332.7399, 0.3338010
333.2220, 0.1362000
333.7041, 0.1213990
334.1862, 1.033234
334.6683, 1.965302
335.1505, 2.529236
335.6326, 2.719299
336.1147, 2.634186
336.5968, 2.169067
337.0789, 1.577728
337.5610, 0.8007510
338.0432, 2.7434999E-02
338.5253, 0.5608220
339.0074, 0.6116330
339.4895, 0.3349300
339.9716, 0.1429750
340.4537, 0.1757810
340.9359, 2.8411999E-02
341.4180, 0.6445010
341.9001, 1.445313
342.3822, 1.783417
342.8643, 1.489044
343.3464, 0.9797060
343.8286, 0.8488460
344.3107, 1.310822
344.7928, 1.532104
345.2749, 1.317322
345.7570, 0.9920960
346.2391, 0.7482300
346.7213, 0.6288450
347.2034, 0.6684270
347.6855, 0.9385680
348.1676, 1.459259
348.6497, 1.767426
349.1318, 1.583801
349.6140, 1.507813
350.0961, 2.087402
350.5782, 2.987885
351.0603, 3.347382
351.5424, 2.594971
352.0245, 1.070557
352.5067, 0.2324830
352.9888, 0.5227660
353.4709, 0.9493410
353.9530, 1.487335
354.4351, 2.062988
354.9172, 2.631348
355.3994, 3.169708
355.8815, 3.607727
356.3636, 3.825348
356.8457, 3.704773
357.3278, 3.615204
357.8099, 3.482605
358.2920, 3.430603
358.7741, 3.658051
359.2563, 4.107727
359.7384, 4.444153
360.2205, 4.287872
360.7026, 3.543579
361.1847, 3.250336
361.6668, 3.965454
362.1490, 4.527100
362.6311, 4.121979
363.1132, 3.303284
363.5953, 3.265594
364.0774, 4.861053
364.5595, 7.555054
365.0417, 9.080414
365.5238, 8.532654
366.0059, 7.966156
366.4880, 7.408081
366.9701, 7.048126
367.4522, 7.153595
367.9344, 7.724670
368.4165, 8.426788
368.8986, 8.806213
369.3807, 8.869537
369.8628, 8.767792
370.3449, 8.292938
370.8271, 7.809875
371.3092, 7.562927
371.7913, 7.590698
372.2734, 7.667786
372.7555, 7.591888
373.2376, 7.369110
373.7198, 7.153748
374.2019, 6.570801
374.6840, 6.490906
375.1661, 7.719086
375.6482, 9.507324
376.1303, 10.63397
376.6125, 10.42056
377.0946, 9.390259
377.5767, 8.668732
378.0588, 8.274536
378.5409, 8.156311
379.0230, 8.347900
379.5052, 8.756622
379.9873, 9.532837
380.4694, 10.70602
380.9515, 11.64224
381.4336, 11.49078
381.9157, 10.28244
382.3979, 9.333771
382.8800, 8.616455
383.3621, 8.385986
383.8442, 9.274231
384.3263, 10.95215
384.8084, 12.04102
385.2906, 11.09186
385.7727, 9.061096
386.2548, 8.196960
386.7369, 8.737579
387.2190, 9.598633
387.7011, 10.61340
388.1833, 11.44720
388.6654, 11.45114
389.1475, 10.08307
389.6296, 8.628296
390.1117, 8.369110
390.5938, 9.129517
391.0760, 9.704224
391.5581, 9.774353
392.0402, 9.515900
392.5223, 9.050720
393.0044, 8.351471
393.4865, 7.780609
393.9687, 7.668365
394.4508, 7.712555
394.9329, 7.360168
395.4150, 6.481415
395.8971, 5.548523
396.3792, 4.963409
396.8614, 4.764069
397.3435, 4.781860
397.8256, 5.154663
398.3077, 5.585327
398.7898, 5.911652
399.2719, 6.173889
399.7540, 6.485504
400.2361, 6.957184
400.7183, 7.388580
401.2004, 7.091583
401.6825, 5.241394
402.1646, 4.233673
402.6467, 5.172974
403.1288, 6.834717
403.6110, 7.876984
404.0931, 7.980865
404.5752, 7.520813
405.0573, 6.861389
405.5394, 5.912323
406.0215, 5.337402
406.5037, 5.511993
406.9858, 5.641449
407.4679, 5.194946
407.9500, 4.374329
408.4321, 3.784332
408.9142, 3.831787
409.3964, 4.300903
409.8785, 4.197906
410.3606, 2.500122
410.8427, 1.561127
411.3248, 2.110504
411.8069, 3.182373
412.2891, 3.838623
412.7712, 3.846313
413.2533, 3.639130
413.7354, 3.899292
414.2175, 4.922729
414.6996, 5.207458
415.1818, 4.045593
415.6639, 2.783264
416.1460, 1.695068
416.6281, 0.9212650
417.1102, 0.7213130
417.5923, 1.408173
418.0745, 2.642426
418.5566, 3.172211
419.0387, 2.548065
419.5208, 2.233276
420.0029, 3.170563
420.4850, 4.333160
420.9672, 4.672363
421.4493, 3.925507
421.9314, 2.917511
422.4135, 2.507935
422.8956, 2.664703
423.3777, 2.684326
423.8599, 2.389923
424.3420, 2.039948
424.8241, 1.860077
425.3062, 1.802612
425.7883, 1.688538
426.2704, 1.272461
426.7526, 0.8357540
427.2347, 0.7666320
427.7168, 1.069580
