##NAMES=Kurchatovite
##RRUFFID=R130074
##IDEAL CHEMISTRY=CaMgB_2_O_5_
##LOCALITY=Solongo B deposit, Vitim Plateau, Buriatia (Buryatia) Republic, Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia
##OWNER=RRUFF
##SOURCE=Igor Pekov
##DESCRIPTION=Pale gray crystals with good cleavage, associated with white frolovite and yellow wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130074
568.5251, 2.001587
569.0072, 0.7993770
569.4893, 4.8035000E-02
569.9714, 0.5306400
570.4536, 0.6855470
570.9357, 0.5072020
571.4178, 1.6724000E-02
571.8999, 0.5903320
572.3820, 1.086670
572.8641, 1.681702
573.3463, 2.665405
573.8284, 4.447449
574.3105, 5.645264
574.7926, 5.337891
575.2747, 4.391907
575.7568, 3.903259
576.2390, 4.399353
576.7211, 4.745972
577.2032, 4.679626
577.6853, 4.384460
578.1674, 4.473999
578.6495, 4.984497
579.1317, 5.804688
579.6138, 7.113770
580.0959, 8.780396
580.5780, 9.536316
581.0601, 9.322998
581.5422, 8.989197
582.0244, 9.372131
582.5065, 10.18561
582.9886, 10.50653
583.4707, 10.06573
583.9528, 10.01715
584.4349, 11.72223
584.9171, 14.39948
585.3992, 16.89319
585.8813, 18.82764
586.3634, 20.47156
586.8455, 22.14709
587.3276, 23.62280
587.8098, 24.17542
588.2919, 22.40216
588.7740, 21.01813
589.2561, 20.96979
589.7382, 22.27618
590.2203, 22.88245
590.7025, 22.20612
591.1846, 21.82660
591.6667, 23.00757
592.1488, 25.95862
592.6309, 28.16888
593.1130, 29.49304
593.5952, 30.24512
594.0773, 30.51196
594.5594, 30.52228
595.0415, 31.04193
595.5236, 32.37775
596.0057, 34.13239
596.4879, 35.83252
596.9700, 37.56329
597.4521, 39.53796
597.9342, 41.83875
598.4163, 44.43652
598.8984, 47.44525
599.3806, 50.81763
599.8627, 54.04852
600.3448, 56.63287
600.8269, 59.36481
601.3090, 62.87494
601.7911, 67.68347
602.2733, 70.98682
602.7554, 71.99792
603.2375, 72.60004
603.7196, 74.63074
604.2017, 78.27057
604.6838, 81.60468
605.1660, 84.26593
