##NAMES=Derriksite
##RRUFFID=R100223
##IDEAL CHEMISTRY=Cu_4_(UO_2_)(Se^4+^O_3_)_2_(OH)_6_
##LOCALITY=Musonoi mine, Kolwezi, Katanga, Congo
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark green crystal associated with metatorbernite, malachite and brochantite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100223
550.9750, 1.617626
551.4571, 1.027863
551.9392, 0.2640530
552.4213, 1.115078
552.9034, 1.501656
553.3856, 1.542439
553.8677, 1.110310
554.3498, 0.2786520
554.8319, 6.0084999E-02
555.3140, 0.6896400
555.7961, 1.447376
556.2783, 1.048691
556.7604, 2.1519000E-02
557.2425, 0.3358760
557.7246, 1.284512
558.2067, 3.207932
558.6888, 3.907486
559.1710, 3.580311
559.6531, 2.866920
560.1352, 1.730961
560.6173, 0.5808410
561.0994, 0.3971710
561.5815, 1.213863
562.0637, 1.664494
562.5458, 1.518333
563.0279, 1.109901
563.5100, 0.6569020
563.9921, 0.1835780
564.4742, 0.3745000
564.9564, 0.6171040
565.4385, 1.871052
565.9206, 1.599186
566.4027, 0.5723270
566.8848, 2.391502
567.3669, 3.212135
567.8491, 3.216805
568.3312, 2.816013
568.8133, 2.025459
569.2954, 1.195415
569.7775, 0.5260390
570.2596, 1.7002000E-02
570.7418, 0.5304110
571.2239, 1.030354
571.7060, 1.298214
572.1881, 1.109612
572.6702, 0.6282350
573.1523, 4.8139999E-03
573.6345, 0.9284170
574.1166, 1.672302
574.5987, 2.074783
575.0808, 2.175842
575.5629, 2.043961
576.0450, 1.529163
576.5272, 0.9471740
577.0093, 0.1934700
577.4914, 0.6341820
577.9735, 0.8170510
578.4556, 4.1065000E-02
578.9377, 0.7343940
579.4199, 0.9816470
579.9020, 0.6840860
580.3841, 0.6865920
580.8662, 1.050098
581.3483, 1.388157
581.8304, 1.126823
582.3126, 0.4898190
582.7947, 0.2770960
583.2768, 0.6873740
583.7589, 1.401989
584.2410, 2.296745
584.7231, 3.229095
585.2053, 3.916882
585.6874, 4.140133
586.1696, 4.178852
586.6517, 4.092995
587.1338, 3.921749
587.6159, 3.831547
588.0980, 3.279446
588.5801, 3.338673
589.0623, 4.888336
589.5444, 8.359489
590.0265, 10.31202
590.5086, 10.11296
590.9907, 9.205742
591.4728, 8.591454
591.9550, 8.263916
592.4371, 8.344074
592.9192, 8.910820
593.4013, 9.718632
593.8834, 10.48543
594.3655, 11.20041
594.8477, 11.74569
595.3298, 11.85999
595.8119, 12.06165
596.2940, 13.44250
596.7761, 15.58715
597.2582, 17.15073
597.7404, 16.72630
598.2225, 15.99700
598.7046, 16.19046
599.1867, 17.36741
599.6688, 18.53527
600.1509, 19.14814
600.6331, 19.85074
601.1152, 21.10554
601.5973, 23.38139
602.0794, 25.11150
602.5615, 25.99853
603.0436, 26.61565
603.5258, 27.43425
604.0079, 28.32398
604.4900, 30.14627
604.9721, 33.31189
605.4542, 36.87185
605.9363, 39.40620
606.4185, 40.84820
606.9006, 41.95642
607.3827, 42.67298
607.8648, 43.40956
608.3469, 44.58529
608.8290, 46.33327
609.3112, 49.17858
609.7933, 55.13459
610.2754, 61.10941
610.7575, 64.24371
611.2396, 63.62992
611.7217, 64.56058
612.2039, 69.61246
612.6860, 76.02422
613.1681, 81.77156
613.6502, 85.96538
614.1323, 90.85331
614.6144, 96.88496
615.0966, 103.1365
615.5787, 108.1826
616.0608, 111.5909
616.5429, 116.2357
617.0250, 123.0816
617.5071, 131.2023
617.9893, 138.5234
618.4714, 145.1126
618.9535, 151.2058
619.4356, 156.5183
619.9177, 161.7536
620.3998, 168.0788
620.8820, 175.4133
621.3641, 182.7165
621.8462, 189.4807
622.3283, 196.0506
622.8104, 202.6687
623.2925, 209.5349
623.7747, 215.9316
624.2568, 222.1318
624.7389, 227.5741
625.2210, 231.7802
625.7031, 233.9931
626.1852, 236.7457
626.6674, 240.6605
627.1495, 244.6082
627.6316, 246.5876
628.1137, 246.5154
628.5958, 245.7828
629.0779, 244.7996
629.5601, 243.3801
630.0422, 241.2022
630.5243, 238.2324
631.0064, 234.5285
631.4885, 229.8404
631.9706, 224.7490
632.4528, 219.5879
632.9349, 214.3173
633.4170, 208.8292
633.8991, 203.1385
634.3812, 197.2846
634.8633, 191.1747
635.3455, 184.7214
635.8276, 178.4482
636.3097, 172.1653
636.7918, 166.2672
637.2739, 161.1612
637.7560, 157.1098
638.2382, 152.7188
638.7203, 147.9302
639.2024, 142.8787
639.6845, 137.4287
640.1666, 131.6467
640.6487, 126.4396
641.1309, 122.2618
641.6130, 118.4497
642.0951, 114.0042
642.5772, 109.1876
643.0594, 104.9306
643.5415, 102.2809
644.0236, 99.75578
644.5057, 96.26459
644.9879, 91.90202
645.4700, 87.96456
645.9521, 85.18455
646.4342, 82.46012
646.9163, 79.23558
647.3984, 75.34251
647.8806, 71.85483
648.3627, 68.74912
648.8448, 66.04556
649.3269, 64.03484
649.8090, 62.71315
650.2911, 60.27806
650.7733, 56.38209
651.2554, 52.18296
651.7375, 48.81826
652.2196, 46.19410
652.7017, 44.06656
653.1838, 42.44360
653.6660, 41.14302
654.1481, 40.31737
654.6302, 39.67146
655.1123, 38.67207
655.5944, 36.41971
656.0765, 34.55763
656.5587, 34.16120
657.0408, 34.73273
657.5229, 33.84991
658.0050, 30.59471
658.4871, 27.45140
658.9692, 25.24811
659.4514, 23.92979
659.9335, 22.88576
660.4156, 22.10687
660.8977, 21.68980
661.3798, 22.11956
661.8619, 22.93333
662.3441, 22.89812
662.8262, 21.93721
663.3083, 20.40939
663.7904, 17.69789
664.2725, 15.00854
664.7546, 13.85503
665.2368, 15.18092
665.7189, 16.29033
666.2010, 16.20787
666.6831, 15.48266
667.1652, 14.71706
667.6473, 13.82925
668.1295, 13.13668
668.6116, 12.88024
669.0937, 12.66383
669.5758, 11.51759
670.0579, 9.291481
670.5400, 7.553864
671.0222, 6.838425
671.5043, 6.810745
671.9864, 7.062744
672.4685, 7.470268
672.9506, 7.421646
673.4327, 5.898094
673.9149, 4.255745
674.3970, 4.007210
674.8791, 4.944901
675.3612, 5.407272
675.8433, 3.916695
676.3254, 2.473030
676.8076, 2.248329
677.2897, 3.541634
677.7718, 4.535568
678.2539, 5.197838
678.7360, 5.593681
679.2181, 5.779396
679.7003, 5.765411
680.1824, 5.304420
680.6645, 4.279549
681.1466, 3.278252
681.6287, 3.089310
682.1108, 3.437096
682.5930, 3.598259
683.0751, 3.464180
683.5572, 2.999329
684.0393, 1.894203
684.5214, 0.5175550
685.0035, 0.6072620
685.4857, 1.298431
685.9678, 1.740974
686.4499, 2.046837
686.9320, 2.111412
687.4141, 1.643944
687.8962, 3.2600001E-02
688.3784, 0.8799820
688.8605, 7.1983002E-02
689.3426, 1.724594
689.8247, 2.038315
690.3068, 0.8119890
690.7889, 0.3564680
691.2711, 0.7409900
691.7532, 0.5259860
692.2353, 0.1738430
692.7174, 1.256317
693.1995, 2.107216
693.6816, 2.511360
694.1638, 2.423569
694.6459, 1.676956
695.1280, 0.2404860
695.6101, 1.224014
696.0922, 3.164383
696.5743, 4.556213
697.0565, 4.710182
697.5386, 3.152473
698.0207, 2.378014
698.5028, 2.520546
698.9849, 3.164268
699.4670, 4.061028
699.9492, 5.176071
700.4313, 6.245285
700.9135, 7.369865
701.3956, 8.006004
701.8777, 7.046417
702.3598, 5.516808
702.8419, 5.282616
703.3240, 7.369743
703.8062, 9.736565
704.2883, 11.41528
704.7704, 12.71803
705.2525, 14.03532
705.7346, 15.99795
706.2167, 17.19767
706.6989, 17.26276
707.1810, 16.61646
707.6631, 15.98557
708.1452, 15.23836
708.6273, 15.63760
709.1094, 17.81902
709.5916, 20.96239
710.0737, 23.64416
710.5558, 25.85541
711.0379, 27.47467
711.5200, 27.45872
712.0021, 27.48094
712.4843, 29.33089
712.9664, 32.62456
713.4485, 35.57993
