##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
570.9346, 181.3313
571.4167, 169.7636
571.8989, 162.7360
572.3810, 161.5418
572.8631, 173.7548
573.3452, 195.8714
573.8273, 208.3993
574.3094, 190.1198
574.7916, 170.8454
575.2737, 167.7948
575.7558, 188.0855
576.2379, 206.9047
576.7200, 227.9322
577.2021, 242.6875
577.6843, 241.3112
578.1664, 214.1825
578.6485, 199.0590
579.1306, 203.2338
579.6127, 217.2068
580.0948, 223.7596
580.5770, 222.5871
581.0591, 221.7327
581.5412, 223.3992
582.0233, 227.2119
582.5054, 239.2565
582.9875, 256.0488
583.4697, 257.8387
583.9518, 212.8178
584.4339, 155.2906
584.9160, 122.6128
585.3981, 120.3778
585.8802, 130.1993
586.3624, 163.7839
586.8445, 194.8586
587.3266, 198.9856
587.8087, 135.1377
588.2908, 91.13895
588.7729, 90.98168
589.2551, 112.8650
589.7372, 120.0898
590.2193, 103.6950
590.7014, 90.03625
591.1835, 84.38101
591.6656, 85.74762
592.1478, 89.79501
592.6299, 95.68836
593.1120, 103.9622
593.5941, 122.1242
594.0762, 143.0103
594.5583, 129.7187
595.0405, 78.65806
595.5226, 41.14240
596.0047, 87.83086
596.4868, 168.6185
596.9689, 207.7877
597.4510, 171.1738
597.9332, 125.5810
598.4153, 113.0445
598.8974, 115.7399
599.3795, 108.1206
599.8616, 67.82301
600.3438, 35.17551
600.8259, 24.07412
601.3080, 29.57495
601.7901, 30.72771
602.2722, 22.67342
602.7543, 16.67876
603.2365, 17.86450
603.7186, 25.04506
604.2007, 28.19880
604.6828, 25.10095
605.1649, 20.97765
605.6470, 15.83818
606.1292, 11.18783
606.6113, 22.93010
607.0934, 54.29683
607.5755, 82.22714
608.0576, 76.31748
608.5398, 51.20350
609.0219, 30.99389
609.5040, 31.50445
609.9861, 29.64295
610.4683, 16.05889
610.9504, 8.195309
611.4325, 40.88898
611.9146, 9.665611
612.3967, 37.28717
612.8788, 58.38568
613.3610, 55.60645
613.8431, 50.68783
614.3252, 39.64933
614.8073, 33.14736
615.2894, 41.95787
615.7715, 68.97264
616.2537, 58.29718
616.7358, 3.640575
617.2179, 50.51931
617.7000, 39.07941
618.1821, 43.19570
618.6642, 36.49144
619.1464, 46.24051
619.6285, 22.28404
620.1106, 29.66413
620.5927, 51.08389
621.0748, 47.14051
621.5569, 11.96865
622.0391, 29.05953
622.5212, 39.27232
623.0033, 27.70485
623.4854, 22.42743
623.9675, 32.66272
624.4496, 47.53963
624.9318, 66.80428
625.4139, 90.82375
625.8960, 111.9264
626.3781, 134.4520
626.8602, 143.8967
627.3423, 121.1040
627.8245, 67.78509
628.3066, 43.66653
628.7887, 51.49037
629.2708, 77.94032
629.7529, 116.2507
630.2350, 160.9018
630.7172, 203.1947
631.1993, 241.9731
