##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
604.4285, 214.8292
604.9106, 225.2374
605.3928, 235.1550
605.8749, 245.4188
606.3570, 256.4349
606.8391, 268.1396
607.3212, 280.7161
607.8033, 294.0442
608.2855, 307.5557
608.7676, 321.2970
609.2497, 334.8059
609.7318, 346.8646
610.2139, 357.0228
610.6960, 366.9843
611.1782, 378.2729
611.6603, 389.7574
612.1424, 400.2970
612.6245, 409.8064
613.1066, 417.9349
613.5887, 424.8517
614.0709, 430.3326
614.5530, 433.6934
615.0351, 433.4972
615.5172, 434.3818
615.9993, 438.2983
616.4814, 444.2744
616.9636, 447.2505
617.4457, 447.1692
617.9278, 445.3917
618.4099, 442.5713
618.8920, 438.9603
619.3741, 434.3140
619.8563, 428.4602
620.3384, 422.7783
620.8205, 419.1394
621.3026, 415.7335
621.7847, 410.8215
622.2668, 404.1484
622.7490, 396.1827
623.2311, 386.5013
623.7132, 375.5094
624.1953, 363.8086
624.6774, 349.2480
625.1595, 336.7288
625.6417, 328.1283
626.1238, 321.8430
626.6059, 313.2443
627.0880, 301.4557
627.5701, 289.7042
628.0522, 279.2634
628.5344, 269.8724
629.0165, 259.9427
629.4986, 249.4562
629.9807, 239.0961
630.4628, 228.5236
630.9449, 218.7079
631.4271, 211.6598
631.9092, 207.5162
632.3913, 203.3503
632.8734, 197.1184
633.3555, 189.8727
633.8376, 182.3896
634.3198, 174.4487
634.8019, 167.0186
635.2840, 160.8561
635.7661, 155.2207
636.2482, 148.8441
636.7303, 140.3024
637.2125, 133.4703
637.6946, 129.7101
638.1767, 127.6116
638.6588, 122.8903
639.1409, 115.1156
639.6230, 107.7047
640.1052, 102.1235
640.5873, 97.82312
641.0694, 93.15247
641.5515, 88.14612
642.0336, 83.65942
642.5157, 81.56897
642.9979, 79.67004
643.4800, 74.74280
643.9621, 66.31982
644.4442, 59.09619
644.9263, 55.88196
645.4084, 54.44312
645.8906, 53.09363
646.3727, 51.74353
646.8548, 50.06555
647.3369, 47.78638
647.8190, 45.27820
648.3011, 42.97644
648.7833, 40.78442
649.2654, 38.96033
649.7475, 37.66125
650.2296, 36.50708
650.7117, 34.56665
651.1938, 31.87805
651.6760, 29.18616
652.1581, 26.02417
652.6402, 23.62158
653.1223, 24.89478
653.6044, 28.92554
654.0865, 31.81580
654.5687, 31.79358
655.0508, 29.60181
655.5329, 24.35962
656.0150, 15.91467
656.4971, 10.46704
656.9792, 12.05078
657.4614, 14.88074
657.9435, 15.74292
658.4256, 13.83435
658.9077, 12.87903
659.3898, 13.47363
659.8719, 13.94031
660.3541, 11.97705
660.8362, 7.699829
661.3183, 5.082642
661.8004, 5.104980
662.2825, 5.791382
662.7646, 4.347412
663.2468, 1.538208
663.7289, 0.7712400
664.2110, 1.790894
664.6931, 2.216064
665.1752, 2.006226
665.6573, 1.551636
666.1395, 1.805786
666.6216, 4.280884
667.1037, 6.224365
667.5858, 6.332031
668.0679, 4.932373
668.5500, 4.290527
669.0322, 4.782471
669.5143, 5.311279
669.9964, 5.461792
670.4785, 5.248779
670.9606, 4.718384
671.4427, 3.851440
671.9249, 2.987671
672.4070, 2.520630
672.8891, 2.246216
673.3712, 1.586548
673.8533, 0.4339600
674.3354, 0.4515380
674.8176, 0.8695070
675.2997, 0.5729980
675.7818, 0.8399660
676.2639, 4.521729
676.7460, 7.326782
677.2281, 8.566895
677.7103, 8.444946
678.1924, 6.926880
678.6745, 2.515015
679.1566, 0.1269530
679.6387, 1.071777
680.1208, 3.761841
680.6030, 4.885620
681.0851, 4.429199
681.5672, 3.259033
682.0493, 1.298828
682.5314, 0.8048100
683.0135, 1.712524
683.4957, 1.689575
683.9778, 1.788208
684.4599, 3.011230
684.9420, 4.200928
685.4241, 4.474976
685.9063, 3.867065
686.3884, 3.251221
686.8705, 2.819946
687.3526, 2.491089
687.8347, 1.965454
688.3168, 0.9937740
688.7990, 2.250732
689.2811, 6.961426
689.7632, 11.26257
690.2453, 11.42896
690.7274, 7.874390
691.2095, 6.047241
691.6917, 6.413208
692.1738, 7.658081
692.6559, 8.438232
693.1380, 9.126709
693.6201, 10.55176
694.1022, 13.34961
694.5844, 15.56946
695.0665, 15.70544
695.5486, 14.70154
696.0307, 13.76904
696.5128, 13.06958
