##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
550.6118, 0.1733400
551.0939, 24.85034
551.5760, 25.95129
552.0581, 9.709717
552.5402, 4.540039
553.0223, 17.35132
553.5045, 25.40869
553.9866, 26.16602
554.4687, 22.99634
554.9508, 18.32629
555.4329, 12.30872
555.9150, 9.250854
556.3972, 12.41943
556.8793, 17.49231
557.3614, 19.66614
557.8435, 20.64832
558.3256, 27.15210
558.8077, 42.28735
559.2899, 58.71777
559.7720, 63.40698
560.2541, 52.11792
560.7362, 44.40332
561.2183, 41.26440
561.7004, 40.80298
562.1826, 41.67993
562.6647, 45.02930
563.1468, 54.27075
563.6289, 72.09509
564.1110, 88.19946
564.5931, 89.78442
565.0753, 81.33057
565.5574, 78.17590
566.0395, 83.04211
566.5216, 88.11707
567.0037, 87.78772
567.4858, 82.51697
567.9680, 75.41089
568.4501, 60.20654
568.9322, 51.67139
569.4143, 53.17017
569.8964, 61.62378
570.3785, 77.64600
570.8607, 98.75537
571.3428, 117.6099
571.8249, 129.1339
572.3070, 133.5706
572.7891, 128.0527
573.2712, 108.8601
573.7534, 101.9292
574.2355, 122.3502
574.7176, 150.9246
575.1997, 164.0687
575.6818, 162.1085
576.1639, 163.8646
576.6461, 177.6060
577.1282, 192.5569
577.6103, 201.8662
578.0924, 206.5034
578.5745, 208.9832
579.0566, 210.2974
579.5388, 210.9663
580.0209, 211.0868
580.5030, 209.9119
580.9851, 213.8721
581.4672, 229.5209
581.9493, 241.1467
582.4314, 236.3518
582.9135, 226.7372
583.3956, 231.2672
583.8777, 257.6355
584.3599, 278.3813
584.8420, 266.3789
585.3241, 241.3639
585.8062, 237.2720
586.2883, 255.9714
586.7704, 278.6884
587.2526, 294.3942
587.7347, 303.1787
588.2168, 304.7692
588.6989, 290.5524
589.1810, 283.8264
589.6631, 286.5809
590.1453, 294.1226
590.6274, 307.3652
591.1095, 324.0806
591.5916, 339.6099
592.0737, 351.7279
592.5558, 360.0457
593.0380, 362.6177
593.5201, 360.2052
594.0022, 356.9203
594.4843, 354.3743
594.9664, 354.9011
595.4485, 360.6033
595.9307, 370.6307
596.4128, 376.9847
596.8949, 376.8223
597.3770, 376.6819
597.8591, 377.6877
598.3412, 380.1992
598.8234, 384.0780
599.3055, 389.4270
599.7876, 396.9209
600.2697, 409.5289
600.7518, 422.8900
601.2339, 423.1442
601.7161, 409.0734
602.1982, 393.7747
602.6803, 378.4758
603.1624, 368.8884
603.6445, 376.6162
604.1266, 403.1688
604.6088, 419.8013
605.0909, 418.6826
605.5730, 411.5894
606.0551, 397.2689
606.5372, 383.2960
607.0193, 384.9589
607.5015, 404.7852
607.9836, 425.5990
608.4657, 426.5715
608.9478, 408.4978
609.4299, 394.6990
609.9120, 385.4861
610.3942, 381.9976
610.8763, 385.3287
611.3584, 393.5457
611.8405, 406.7169
612.3226, 428.7531
612.8047, 437.3599
613.2869, 409.7041
613.7690, 379.5691
614.2511, 379.2856
614.7332, 401.0322
615.2153, 418.2838
615.6974, 418.4572
616.1796, 409.7134
616.6617, 407.1147
617.1438, 412.9009
617.6259, 408.2148
618.1080, 383.2708
618.5901, 361.3416
619.0723, 359.0492
619.5544, 366.5878
620.0365, 368.3721
620.5186, 360.3273
621.0007, 353.3184
621.4828, 352.8737
621.9650, 355.6177
622.4471, 358.4678
622.9292, 360.6602
623.4113, 361.6846
623.8934, 361.2257
624.3755, 358.9794
624.8577, 353.7811
625.3398, 344.8188
625.8219, 338.2097
626.3040, 334.0991
626.7861, 331.2134
627.2682, 331.6650
627.7504, 332.3228
628.2325, 325.8068
628.7146, 306.5176
629.1967, 289.3041
629.6788, 284.7880
630.1609, 286.3474
630.6431, 283.8413
631.1252, 276.6033
631.6073, 270.6908
632.0894, 270.8201
632.5715, 274.4066
633.0536, 271.6393
633.5358, 257.6348
634.0179, 251.3042
634.5000, 263.7664
634.9821, 274.7178
635.4642, 270.9889
635.9464, 256.9968
636.4285, 244.3197
636.9106, 235.2694
637.3927, 228.9167
637.8748, 226.6458
638.3569, 226.1852
638.8391, 222.5001
639.3212, 215.6824
639.8033, 210.9740
640.2854, 212.7228
640.7675, 218.7260
641.2496, 219.2024
641.7318, 212.3921
642.2139, 205.6456
642.6960, 197.3895
643.1781, 192.1995
643.6602, 195.2357
644.1423, 202.6376
644.6245, 203.4911
645.1066, 192.2645
645.5887, 177.9656
646.0708, 164.2671
646.5529, 152.8199
647.0350, 147.8096
647.5172, 149.3202
647.9993, 151.6162
648.4814, 149.4749
648.9635, 145.0374
649.4456, 148.5498
649.9277, 166.6548
650.4099, 175.2814
650.8920, 165.0282
651.3741, 150.1259
651.8562, 137.6069
652.3383, 128.6210
652.8204, 125.4128
653.3026, 130.1738
653.7847, 137.7240
654.2668, 149.0149
654.7489, 158.6940
655.2310, 155.2194
655.7131, 139.3165
656.1953, 126.8376
656.6774, 131.3383
657.1595, 146.5554
657.6416, 147.6017
658.1237, 126.5309
658.6058, 113.6271
659.0880, 122.0854
659.5701, 131.6670
660.0522, 124.5693
660.5343, 106.2843
661.0164, 94.77795
661.4985, 94.94946
661.9807, 101.2059
662.4628, 119.3401
662.9449, 137.0935
663.4270, 135.6847
663.9091, 116.6581
664.3912, 98.51721
664.8734, 95.19714
665.3555, 99.29041
665.8376, 89.40674
666.3197, 62.08447
666.8018, 44.00439
667.2839, 40.32935
667.7661, 44.65186
668.2482, 56.93579
668.7303, 73.63782
669.2124, 83.49829
669.6945, 82.93005
670.1766, 79.68665
670.6588, 74.04846
671.1409, 68.32617
671.6230, 63.22742
672.1051, 60.03357
672.5872, 63.07642
673.0693, 76.15442
673.5515, 91.12512
674.0336, 90.02478
674.5157, 73.33948
674.9978, 65.13135
675.4799, 70.41260
675.9620, 78.65088
676.4442, 84.86121
676.9263, 88.11353
677.4084, 84.66553
677.8905, 70.22131
678.3726, 57.51929
678.8547, 47.90417
679.3369, 40.72449
679.8190, 34.88647
680.3011, 31.18286
680.7832, 33.34534
681.2653, 44.02209
681.7474, 52.60986
682.2296, 42.23694
682.7117, 18.68945
683.1938, 3.427002
683.6759, 1.468506
684.1580, 1.776733
684.6401, 14.19055
685.1223, 30.69971
685.6044, 38.77124
686.0865, 32.32166
686.5686, 31.27710
687.0507, 41.98633
687.5328, 50.83704
688.0150, 49.94360
688.4971, 44.26135
688.9792, 42.89600
689.4613, 48.60376
689.9434, 51.42676
690.4255, 37.97754
690.9077, 19.84583
691.3898, 19.23865
691.8719, 33.52661
692.3540, 41.73022
692.8361, 34.35901
693.3182, 21.19873
693.8004, 17.31421
694.2825, 23.90344
694.7646, 30.64404
695.2467, 41.45862
695.7288, 46.28223
696.2109, 35.85291
696.6931, 21.83447
697.1752, 17.16443
697.6573, 22.79285
698.1394, 26.80566
698.6215, 27.90332
699.1036, 22.75854
699.5858, 0.3945310
700.0679, 27.93701
700.5500, 38.80029
701.0321, 27.12439
701.5142, 8.809814
701.9963, 1.237915
702.4785, 4.133057
702.9606, 6.534546
703.4427, 9.807129
703.9248, 4.080322
704.4069, 20.32263
704.8890, 44.42017
705.3712, 47.49353
705.8533, 31.11450
706.3354, 17.18359
706.8175, 7.177368
707.2996, 1.077148
707.7817, 10.88892
708.2639, 17.30823
708.7460, 14.57104
709.2281, 3.601807
709.7102, 10.76111
710.1923, 27.59070
710.6744, 41.85461
711.1566, 45.81189
711.6387, 40.63782
712.1208, 29.49536
712.6029, 12.31091
713.0850, 1.064697
713.5671, 3.656616
714.0493, 2.940796
714.5314, 14.24341
715.0135, 41.30457
715.4956, 51.77417
715.9777, 30.17651
716.4598, 8.359863
716.9420, 1.660522
717.4241, 4.160156
717.9062, 4.390137
718.3883, 0.9404300
718.8704, 4.357910
719.3525, 2.383057
719.8347, 10.32568
720.3168, 6.596924
720.7989, 5.503418
721.2810, 12.02344
721.7631, 7.038086
722.2452, 1.4404000E-02
722.7274, 6.663818
723.2095, 26.97192
723.6915, 32.83911
724.1736, 18.59888
