##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=PbS^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
636.3954, 5.385284
636.8775, 7.961990
637.3596, 8.918274
637.8417, 6.408607
638.3239, 3.635208
638.8060, 3.147774
639.2881, 4.539284
639.7702, 5.795174
640.2523, 5.691315
640.7344, 4.741249
641.2166, 3.500084
641.6987, 1.873123
642.1808, 0.8205490
642.6629, 0.7124250
643.1450, 0.9401930
643.6271, 1.100929
644.1093, 1.129959
644.5914, 0.9546510
645.0735, 0.5370410
645.5556, 1.1902000E-02
646.0377, 0.9131160
646.5198, 1.753067
647.0020, 1.527634
647.4841, 0.2172930
647.9662, 0.9168780
648.4483, 0.6566310
648.9304, 0.6956100
649.4125, 1.028442
649.8947, 0.1875000
650.3768, 1.177917
650.8589, 1.521271
651.3410, 1.702118
651.8231, 2.171532
652.3052, 2.773590
652.7874, 2.895599
653.2695, 1.763885
653.7516, 0.4200440
654.2337, 0.2229080
654.7158, 0.9854890
655.1979, 1.962959
655.6801, 3.019394
656.1622, 3.710373
656.6443, 3.412354
657.1264, 2.041847
657.6085, 1.323776
658.0906, 1.961441
658.5728, 2.278465
659.0549, 1.384087
659.5370, 0.2781750
660.0191, 8.4076002E-02
660.5012, 0.8842620
660.9833, 1.900352
661.4655, 2.620895
661.9476, 3.021095
662.4297, 2.709213
662.9118, 1.479103
663.3939, 1.131767
663.8760, 2.869392
664.3582, 4.955452
664.8403, 4.996758
665.3224, 3.185631
665.8045, 2.021950
666.2866, 2.225754
666.7687, 2.829597
667.2509, 3.480026
667.7330, 4.111450
668.2151, 4.612297
668.6972, 4.976089
669.1793, 5.394798
669.6614, 6.152275
670.1436, 7.173851
670.6257, 7.379852
671.1078, 6.355064
671.5899, 5.382576
672.0720, 4.694420
672.5541, 4.278069
673.0363, 4.137604
673.5184, 4.275208
674.0005, 4.671127
674.4826, 5.423393
674.9647, 6.337570
675.4468, 7.589302
675.9290, 8.855942
676.4111, 9.072502
676.8932, 7.902412
677.3753, 6.092384
677.8574, 4.396629
678.3395, 2.792618
678.8217, 1.957886
679.3038, 2.420738
679.7859, 3.015198
680.2680, 3.667114
680.7501, 4.284821
681.2322, 4.925415
681.7144, 5.510277
682.1965, 5.653725
682.6786, 4.814980
683.1607, 3.580399
683.6428, 2.689003
684.1249, 2.191902
684.6071, 2.890884
685.0892, 5.412720
685.5713, 7.725395
686.0534, 7.130058
686.5355, 3.348259
687.0176, 1.766731
687.4998, 4.504478
687.9819, 6.568359
688.4640, 6.450523
688.9461, 5.225639
689.4282, 3.511162
689.9103, 1.723709
690.3925, 0.8102260
690.8746, 1.814278
691.3567, 3.880234
691.8388, 4.981865
692.3209, 5.093712
692.8030, 4.852127
693.2852, 4.248909
693.7673, 3.696060
