##NAMES=Enstatite
##RRUFFID=R120168
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Merensky Reef, Rustenburg, Brushveld District, South Africa
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Dark green, massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120168
385.2906, 53.66913
385.7727, 55.55133
386.2548, 57.91223
386.7369, 61.01129
387.2190, 63.58435
387.7011, 64.08075
388.1833, 63.83429
388.6654, 64.89209
389.1475, 68.24817
389.6296, 71.80969
390.1117, 73.62158
390.5938, 73.93347
391.0760, 74.22449
391.5581, 75.06763
392.0402, 75.98669
392.5223, 76.29285
393.0044, 75.95129
393.4865, 75.52722
393.9687, 75.27643
394.4508, 75.08643
394.9329, 74.78625
395.4150, 74.34473
395.8971, 73.86633
396.3792, 73.63452
396.8614, 73.51544
397.3435, 72.42578
397.8256, 69.62079
398.3077, 66.41418
398.7898, 63.43005
399.2719, 60.71979
399.7540, 58.41559
400.2361, 56.64404
400.7183, 55.22003
401.2004, 53.67908
401.6825, 52.25238
402.1646, 50.33728
402.6467, 47.51404
403.1288, 44.29773
403.6110, 41.17743
404.0931, 38.30914
404.5752, 35.78571
405.0573, 33.75262
405.5394, 32.32458
406.0215, 30.94269
406.5037, 29.70770
406.9858, 28.43280
407.4679, 27.27179
407.9500, 26.07965
408.4321, 24.37476
408.9142, 21.77826
409.3964, 18.73401
409.8785, 17.02570
410.3606, 18.14838
410.8427, 18.28296
411.3248, 16.27911
411.8069, 13.78778
412.2891, 12.48743
412.7712, 12.74585
413.2533, 13.54926
413.7354, 13.43524
414.2175, 11.93073
414.6996, 11.08826
415.1818, 11.87872
415.6639, 12.61230
416.1460, 12.59564
416.6281, 11.85022
417.1102, 10.70123
417.5923, 9.363037
418.0745, 8.019043
418.5566, 7.058594
419.0387, 6.432800
419.5208, 6.110413
420.0029, 6.355164
420.4850, 6.819214
420.9672, 7.150085
421.4493, 7.242676
421.9314, 7.332764
422.4135, 7.586487
422.8956, 7.988525
423.3777, 8.770386
423.8599, 10.36414
424.3420, 11.85974
424.8241, 12.37567
425.3062, 12.17920
425.7883, 12.27545
426.2704, 13.16907
426.7526, 14.58929
427.2347, 16.22815
427.7168, 18.10498
428.1989, 19.91333
428.6810, 21.56299
429.1631, 22.98743
429.6453, 24.08606
430.1274, 24.73035
430.6095, 25.34039
431.0916, 26.12634
431.5737, 27.01910
432.0558, 28.01306
432.5380, 29.16083
433.0201, 29.97845
433.5022, 29.84723
433.9843, 28.63116
434.4664, 27.21997
434.9485, 25.65564
435.4307, 23.88306
435.9128, 21.84668
436.3949, 19.57178
436.8770, 17.02594
437.3591, 14.09900
437.8412, 11.07532
438.3234, 9.113403
438.8055, 9.541382
439.2876, 9.341919
439.7697, 7.678467
440.2518, 5.674316
440.7339, 4.604492
441.2160, 4.619324
441.6982, 4.653198
442.1803, 3.373657
442.6624, 0.4744260
443.1445, 1.507385
443.6266, 1.889099
444.1087, 2.034363
444.5909, 2.208679
445.0730, 2.443115
445.5551, 2.822815
446.0372, 3.432617
446.5193, 3.960022
447.0014, 3.474121
447.4836, 1.309265
447.9657, 0.1242070
448.4478, 1.542847
448.9299, 3.268799
449.4120, 3.867493
449.8941, 3.276733
450.3763, 2.342834
450.8584, 1.623535
451.3405, 1.080688
451.8226, 0.5863650
452.3047, 0.2009280
452.7868, 0.2843020
453.2690, 1.208435
453.7511, 2.252869
454.2332, 2.959412
454.7153, 3.221497
455.1974, 3.138000
455.6795, 2.505859
456.1617, 1.516968
456.6438, 1.106812
457.1259, 1.751343
457.6080, 2.608398
458.0901, 2.371216
458.5722, 1.042664
459.0544, 0.2367550
459.5365, 0.7210690
460.0186, 1.508850
460.5007, 1.736023
460.9828, 1.432190
461.4649, 1.046448
461.9471, 0.8020020
462.4292, 0.7359010
462.9113, 0.9932250
463.3934, 2.630432
463.8755, 3.196106
464.3576, 1.414429
464.8398, 1.036987
465.3219, 2.320251
465.8040, 2.159302
466.2861, 1.708374
466.7682, 2.370728
467.2503, 4.421082
467.7325, 5.029968
468.2146, 2.358582
468.6967, 0.2023930
469.1788, 0.2196660
469.6609, 0.4667970
470.1430, 1.398987
470.6252, 2.223267
471.1073, 2.769226
471.5894, 2.561584
472.0715, 1.311218
472.5536, 0.5781860
473.0357, 1.401184
473.5179, 2.087524
474.0000, 1.282776
474.4821, 0.6525880
474.9642, 2.079529
475.4463, 1.588623
475.9284, 8.9844003E-02
476.4106, 0.3226930
476.8927, 0.5383910
477.3748, 1.317261
477.8569, 1.255066
478.3390, 0.8013920
478.8211, 0.6301880
479.3033, 0.7523190
479.7854, 1.206421
480.2675, 2.442993
480.7496, 3.914429
481.2317, 4.473633
481.7138, 3.885132
482.1959, 3.129456
482.6780, 3.096680
483.1602, 3.781067
483.6423, 4.204895
484.1244, 4.122131
484.6065, 4.061096
485.0886, 4.302124
485.5707, 4.695496
486.0529, 4.963989
486.5350, 5.005005
487.0171, 4.932983
487.4992, 4.931030
487.9813, 4.984375
488.4634, 5.152527
488.9456, 5.593750
489.4277, 5.983887
489.9098, 6.104309
490.3919, 6.050415
490.8740, 6.069153
491.3561, 6.325195
491.8383, 6.715271
492.3204, 6.893127
492.8025, 6.656738
493.2846, 6.774231
493.7667, 7.932068
494.2488, 9.120605
494.7310, 9.630188
495.2131, 9.449463
495.6952, 9.083618
496.1773, 8.491699
496.6594, 8.010986
497.1415, 8.853577
497.6237, 11.36816
498.1058, 13.63715
498.5879, 14.29840
499.0700, 14.16315
499.5521, 14.83771
500.0342, 16.69202
500.5164, 18.64441
500.9985, 20.21411
501.4806, 21.49280
501.9627, 22.55701
502.4448, 23.41241
502.9269, 24.34106
503.4091, 25.73230
503.8912, 27.60571
504.3733, 28.53040
504.8554, 28.01910
505.3375, 27.40149
505.8196, 26.45911
506.3018, 25.74341
506.7839, 26.31354
