##NAMES=Vanadiocarpholite
##RRUFFID=R080099
##IDEAL CHEMISTRY=Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_
##LOCALITY=Molinello mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow brown fibrous, associated with quartz crystals on matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R080099
423.0856, 0.8562320
423.5677, 1.236160
424.0498, 1.978447
424.5319, 2.345100
425.0140, 1.741646
425.4962, 0.9635090
425.9783, 0.8173520
426.4604, 1.969696
426.9425, 2.881065
427.4246, 3.249031
427.9067, 3.162346
428.3889, 3.348267
428.8710, 3.896652
429.3531, 4.553436
429.8352, 5.273712
430.3173, 6.136726
430.7994, 6.608795
431.2816, 6.566559
431.7637, 6.344482
432.2458, 6.420464
432.7279, 6.768494
433.2100, 7.289612
433.6921, 7.989937
434.1743, 8.854309
434.6564, 9.814201
435.1385, 10.88474
435.6206, 11.78857
436.1027, 12.29755
436.5848, 12.44375
437.0670, 12.23029
437.5491, 10.23381
438.0312, 12.07001
438.5133, 13.21431
438.9954, 13.70200
439.4775, 11.55630
439.9597, 12.79735
440.4418, 12.67175
440.9239, 12.48441
441.4060, 14.18546
441.8881, 12.39395
442.3702, 14.05866
442.8524, 14.34035
443.3345, 15.25194
443.8166, 14.79450
444.2987, 14.75946
444.7808, 16.09279
445.2629, 16.66779
445.7451, 16.05126
446.2272, 17.00039
446.7093, 15.15089
447.1914, 15.75633
447.6735, 17.42091
448.1556, 16.87085
448.6378, 17.84283
449.1199, 18.23441
449.6020, 15.99054
450.0841, 18.32878
450.5662, 18.68474
451.0483, 17.00532
451.5305, 19.18501
452.0126, 17.78519
452.4947, 17.66227
452.9768, 18.50034
453.4589, 18.33560
453.9410, 19.75055
454.4232, 19.64266
454.9053, 19.39827
455.3874, 19.74693
455.8695, 19.47057
456.3516, 19.48966
456.8337, 19.42132
457.3159, 19.64252
457.7980, 19.99607
458.2801, 20.20317
458.7622, 20.27882
459.2443, 20.32460
459.7264, 20.55063
460.2086, 20.73668
460.6907, 20.50756
461.1728, 19.71699
461.6549, 18.96491
462.1370, 18.72019
462.6191, 18.79207
463.1013, 18.91190
463.5834, 19.23403
464.0655, 19.34468
464.5476, 18.93376
465.0297, 18.06715
465.5118, 17.29294
465.9940, 16.85316
466.4761, 16.48969
466.9582, 16.07364
467.4403, 15.61521
467.9224, 15.04620
468.4045, 14.20526
468.8867, 13.29121
469.3688, 12.64471
469.8509, 12.52964
470.3330, 12.26608
470.8151, 11.66236
471.2972, 10.75268
471.7794, 9.975960
