##NAMES=Arsenuranospathite
##RRUFFID=R100008
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;20H_2_O
##LOCALITY=Krunkelbach valley, Menzenschwand, Schwarzwald, Germany
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Blocky aggregates of yellowish-brown platy crystals, cell parameters are consistent with a partially dehydrated sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100008
557.3878, 1.850067
557.8699, 3.108368
558.3521, 0.7485660
558.8342, 5.153290
559.3163, 10.79944
559.7984, 16.04575
560.2805, 16.70416
560.7626, 9.155487
561.2448, 1.387604
561.7269, 3.223907
562.2090, 12.34622
562.6911, 18.16971
563.1732, 17.39453
563.6553, 14.02002
564.1375, 8.509827
564.6196, 2.539307
565.1017, 0.5401310
565.5838, 4.159576
566.0659, 9.837952
566.5480, 12.63751
567.0302, 12.04413
567.5123, 10.75131
567.9944, 7.730042
568.4765, 5.215698
568.9586, 4.072021
569.4407, 3.948029
569.9229, 4.796021
570.4050, 6.577209
570.8871, 7.636993
571.3692, 4.391266
571.8513, 3.519012
572.3334, 7.207245
572.8156, 4.068756
573.2977, 0.4929500
573.7798, 4.379944
574.2619, 7.213928
574.7440, 8.117126
575.2261, 6.474915
575.7083, 3.694519
576.1904, 0.8370060
576.6725, 5.589142
577.1546, 5.904602
577.6367, 0.4957580
578.1188, 5.433167
578.6010, 6.626190
579.0831, 3.106445
579.5652, 2.289764
580.0473, 7.356567
580.5294, 10.87836
581.0115, 9.924011
581.4937, 6.831818
581.9758, 3.698639
582.4579, 1.316742
582.9400, 0.4365540
583.4221, 2.133667
583.9042, 6.200195
584.3864, 9.734802
584.8685, 13.77557
585.3506, 15.75781
585.8327, 12.55328
586.3148, 8.200592
586.7969, 7.439056
587.2791, 11.14267
587.7612, 14.40497
588.2433, 12.76590
588.7254, 8.800781
589.2075, 8.239899
589.6896, 11.47314
590.1718, 13.39139
590.6539, 10.55679
591.1360, 5.046997
591.6181, 2.732513
592.1002, 4.877930
592.5823, 6.642609
593.0645, 7.717346
593.5466, 8.527283
594.0287, 9.082245
594.5108, 9.355194
594.9929, 9.539734
595.4750, 9.792511
595.9572, 9.585022
596.4393, 9.757355
596.9214, 8.870483
597.4035, 8.035431
597.8856, 7.127686
598.3677, 6.730927
598.8499, 7.301758
599.3320, 8.641266
599.8141, 10.18973
600.2962, 11.54523
600.7783, 13.14276
601.2604, 16.51535
601.7426, 21.01559
602.2247, 22.40457
602.7068, 18.80695
603.1889, 13.59186
603.6710, 10.17767
604.1531, 8.601685
604.6353, 10.59781
605.1174, 21.87128
605.5995, 30.44586
606.0816, 27.75101
606.5637, 20.35333
607.0458, 18.97540
607.5280, 26.44528
608.0101, 35.96347
608.4922, 39.20020
608.9743, 35.91675
609.4564, 32.32205
609.9385, 27.68350
610.4207, 23.94800
610.9028, 21.45615
611.3849, 20.33752
611.8670, 21.26636
612.3491, 24.51346
612.8312, 27.50775
613.3134, 28.26562
613.7955, 27.73227
614.2776, 27.62762
614.7597, 28.05945
615.2418, 28.01907
615.7239, 26.08377
616.2061, 24.20139
616.6882, 26.99402
617.1703, 39.65930
617.6524, 46.77780
618.1345, 44.41702
618.6166, 39.18384
619.0988, 34.03741
619.5809, 29.93665
620.0630, 27.83755
620.5451, 28.41364
621.0272, 30.32648
621.5093, 30.84042
621.9915, 29.72223
622.4736, 28.89450
622.9557, 28.57010
623.4378, 28.76132
623.9199, 29.59827
624.4020, 30.61560
624.8842, 30.75742
625.3663, 29.15399
625.8484, 27.70074
626.3305, 28.26218
626.8126, 29.81659
627.2947, 29.84714
627.7769, 27.94849
628.2590, 26.75412
628.7411, 28.84854
629.2232, 33.73285
629.7053, 36.11688
630.1874, 34.49731
630.6696, 33.22318
631.1517, 33.57138
631.6338, 33.63489
632.1159, 30.96649
632.5980, 26.05750
633.0801, 22.15802
633.5623, 21.74960
634.0444, 23.56699
634.5265, 25.16992
635.0086, 26.87820
635.4907, 28.58075
635.9728, 30.16125
636.4550, 31.12958
636.9371, 30.84677
637.4192, 29.46365
637.9013, 28.13763
638.3834, 27.14743
638.8655, 25.98526
639.3477, 23.90750
639.8298, 21.38675
640.3119, 18.71228
640.7940, 16.32727
641.2761, 16.72650
641.7582, 23.56390
642.2404, 36.83807
642.7225, 44.78543
643.2046, 45.46481
643.6867, 43.59918
644.1688, 38.49780
644.6509, 32.87305
645.1331, 29.59018
645.6152, 28.96375
646.0973, 28.99689
646.5794, 28.73352
647.0615, 27.97626
647.5436, 26.47525
648.0258, 24.31827
648.5079, 21.92059
648.9900, 19.22742
649.4721, 16.85129
649.9542, 15.97379
650.4363, 17.00470
650.9185, 18.59741
651.4006, 20.72369
651.8827, 22.59430
652.3648, 23.97784
652.8469, 25.28568
653.3290, 27.17749
653.8112, 29.83228
654.2933, 32.43893
654.7754, 34.51340
655.2575, 35.85873
655.7396, 34.39713
656.2217, 29.08121
656.7039, 24.65250
657.1860, 23.80383
657.6681, 24.86096
658.1502, 24.82489
658.6323, 23.36246
659.1144, 22.72263
659.5966, 22.82068
660.0787, 24.51559
660.5608, 30.66727
661.0429, 39.10449
661.5250, 43.72833
662.0071, 41.84329
662.4893, 36.57614
662.9714, 32.96664
663.4535, 31.20340
663.9356, 30.13690
664.4177, 30.55432
664.8998, 30.18326
665.3820, 27.32172
665.8641, 23.92740
666.3462, 22.43533
