##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
499.6084, 5.020264
500.0905, 1.551758
500.5727, 3.900391
501.0548, 10.00073
501.5369, 14.98389
502.0190, 14.73389
502.5011, 7.437988
502.9832, 0.3566890
503.4654, 12.03638
503.9475, 20.73718
504.4296, 20.63049
504.9117, 13.83923
505.3938, 8.081421
505.8759, 8.517090
506.3581, 11.24805
506.8402, 9.096924
507.3223, 2.728760
507.8044, 1.117065
508.2865, 8.672485
508.7686, 19.47192
509.2508, 25.71094
509.7329, 27.76782
510.2150, 26.04614
510.6971, 14.70129
511.1792, 4.353027
511.6613, 3.416382
512.1434, 9.237549
512.6255, 14.56897
513.1077, 15.84570
513.5898, 14.24146
514.0719, 11.97607
514.5540, 8.634033
515.0361, 5.942505
515.5182, 3.873901
516.0004, 2.725952
516.4825, 4.308472
516.9646, 7.120728
517.4467, 6.561279
517.9288, 1.563721
518.4109, 11.27551
518.8931, 15.04907
519.3752, 13.76270
519.8573, 12.69080
520.3394, 13.70837
520.8215, 14.65417
521.3036, 12.39246
521.7858, 5.847656
522.2679, 1.094238
522.7500, 1.990356
523.2321, 3.176147
523.7142, 0.2908940
524.1964, 4.118896
524.6785, 5.487793
525.1606, 1.889282
525.6427, 4.493896
526.1248, 11.94031
526.6069, 21.83667
527.0891, 21.53162
527.5712, 3.432983
528.0533, 20.36487
528.5354, 0.9589840
529.0175, 38.10645
529.4996, 59.99438
529.9818, 48.72693
530.4639, 26.64917
530.9460, 2.814941
531.4281, 17.89355
531.9102, 18.93457
532.3923, 4.450928
532.8745, 30.01001
533.3566, 33.60681
533.8387, 13.47351
534.3208, 1.614014
534.8029, 8.170532
535.2850, 14.27771
535.7672, 24.41663
536.2493, 33.98352
536.7314, 37.42407
537.2135, 33.36829
537.6956, 25.05017
538.1777, 12.07300
538.6599, 3.803345
539.1420, 6.088379
539.6241, 10.68115
540.1062, 25.75085
540.5883, 25.50684
541.0704, 16.89941
541.5526, 14.11218
542.0347, 19.78125
542.5168, 26.21472
542.9989, 29.69482
543.4810, 32.87122
543.9631, 41.12793
544.4453, 53.45190
544.9274, 61.00952
545.4095, 56.30786
545.8916, 42.60266
546.3737, 35.67285
546.8558, 37.72290
547.3380, 42.73975
547.8201, 53.50183
548.3022, 63.87878
548.7843, 69.65002
549.2664, 70.81897
549.7485, 69.87695
550.2307, 67.21741
550.7128, 63.94421
551.1949, 62.73376
551.6770, 63.20508
552.1591, 59.93677
552.6412, 49.48877
553.1234, 37.54199
553.6055, 33.31628
554.0876, 40.77966
554.5697, 42.95728
555.0518, 31.13025
