##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
401.0275, 2690.846
401.5096, 2678.542
401.9917, 2666.072
402.4738, 2644.634
402.9560, 2610.749
403.4381, 2570.833
403.9202, 2527.669
404.4023, 2482.254
404.8844, 2438.507
405.3665, 2402.313
405.8487, 2363.983
406.3308, 2312.021
406.8129, 2249.027
407.2950, 2188.922
407.7771, 2139.301
408.2592, 2091.436
408.7414, 2021.843
409.2235, 1907.087
409.7056, 1816.425
410.1877, 1778.854
410.6698, 1753.444
411.1519, 1703.937
411.6341, 1626.000
412.1162, 1534.878
412.5983, 1442.009
413.0804, 1347.296
413.5625, 1272.546
414.0446, 1232.312
414.5268, 1197.757
415.0089, 1171.217
415.4910, 1141.872
415.9731, 1094.732
416.4552, 1023.945
416.9373, 946.5034
417.4195, 889.7310
417.9016, 856.2490
418.3837, 816.6641
418.8658, 759.3940
419.3479, 701.5093
419.8300, 655.7222
420.3122, 621.1035
420.7943, 589.4419
421.2764, 560.8481
421.7585, 531.1108
422.2406, 489.1689
422.7227, 435.7812
423.2049, 395.8545
423.6870, 386.4092
424.1691, 396.0557
424.6512, 393.3701
425.1333, 378.5156
425.6154, 355.4585
426.0976, 317.3911
426.5797, 277.0942
427.0618, 244.3477
427.5439, 220.1572
428.0260, 206.1860
428.5081, 206.4316
428.9903, 223.2212
429.4724, 225.9009
429.9545, 198.9873
430.4366, 175.6763
430.9187, 164.1611
431.4008, 160.6865
431.8830, 160.8794
432.3651, 163.0933
432.8472, 163.5195
433.3293, 153.1704
433.8114, 129.3579
434.2935, 116.3848
434.7757, 120.6274
435.2578, 133.3987
435.7399, 150.7341
