##NAMES=Beta-fergusonite-(Y)
##RRUFFID=R080103
##IDEAL CHEMISTRY=YNbO_4_
##LOCALITY=Arendal, Aust-Agder, Norway
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Olive green fragment from metamict sample R070600, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080103
709.5635, 69853.59
710.0456, 73744.94
710.5277, 77687.02
711.0098, 81672.69
711.4919, 85652.80
711.9741, 89575.66
712.4562, 93426.62
712.9383, 97315.27
713.4204, 101366.3
713.9025, 105384.8
714.3846, 109299.5
714.8668, 113156.5
715.3489, 116836.5
715.8310, 120321.9
716.3131, 123736.0
716.7952, 127236.5
717.2773, 130775.1
717.7595, 134097.8
718.2416, 137182.0
718.7237, 140073.6
719.2058, 142868.1
719.6879, 145487.8
720.1700, 147700.1
720.6522, 149496.3
721.1343, 151089.9
721.6164, 152672.0
722.0985, 154088.0
722.5806, 155276.8
723.0627, 156226.1
723.5449, 156895.3
724.0270, 157291.5
724.5091, 157424.5
724.9912, 157293.8
725.4733, 156896.1
725.9554, 156278.0
726.4376, 155419.9
726.9197, 154413.9
727.4018, 153371.2
727.8839, 152287.6
728.3660, 151153.6
728.8481, 149963.9
