##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
381.3910, 9.1089997E-03
381.8731, 0.3819270
382.3553, 0.6672210
382.8374, 0.8371430
383.3195, 0.8659060
383.8016, 0.7050320
384.2837, 0.4610750
384.7658, 0.3445280
385.2480, 0.3665160
385.7301, 0.4816590
386.2122, 0.7904970
386.6943, 1.122131
387.1764, 1.353729
387.6585, 1.464005
388.1407, 1.468613
388.6228, 1.245331
389.1049, 0.4544370
389.5870, 1.403412
390.0691, 2.043503
390.5512, 2.391144
391.0334, 1.571091
391.5155, 2.258926
391.9976, 2.342514
392.4797, 2.401260
392.9618, 3.301407
393.4439, 2.651062
393.9261, 3.767380
394.4082, 4.155792
394.8903, 3.811401
395.3724, 3.232925
395.8545, 3.342773
396.3366, 4.635803
396.8188, 5.907486
397.3009, 6.048767
397.7830, 5.327911
398.2651, 4.974548
398.7472, 5.454712
399.2293, 6.315430
399.7115, 6.930542
400.1936, 7.302353
400.6757, 7.630417
401.1578, 7.885849
401.6399, 8.166977
402.1220, 8.580902
402.6042, 9.141129
403.0863, 9.869156
403.5684, 10.86707
404.0505, 12.08469
404.5326, 12.99330
405.0147, 13.16310
405.4969, 13.46101
405.9790, 14.46425
406.4611, 15.92848
406.9432, 17.27057
407.4253, 18.25595
407.9074, 18.93501
408.3896, 19.38535
408.8717, 19.33551
409.3538, 19.58244
409.8359, 20.33809
410.3180, 21.31802
410.8001, 22.31528
411.2823, 23.27432
411.7644, 24.18610
412.2465, 25.04280
412.7286, 25.85474
413.2107, 26.51131
413.6928, 26.72870
414.1750, 27.11714
414.6571, 28.03992
415.1392, 29.25276
415.6213, 30.32562
416.1034, 31.03772
416.5855, 31.48921
417.0677, 31.93280
417.5498, 32.29193
418.0319, 32.78542
418.5140, 33.50194
418.9961, 34.28404
419.4782, 35.05327
419.9604, 35.77518
420.4425, 36.40894
420.9246, 36.89908
421.4067, 37.25287
421.8888, 37.74268
422.3709, 38.72234
422.8531, 39.33754
423.3352, 39.17883
423.8173, 38.51569
424.2994, 37.74939
424.7815, 37.05865
425.2636, 36.42336
425.7458, 35.78757
426.2279, 35.08900
426.7100, 34.41002
427.1921, 33.90903
427.6742, 33.31529
428.1563, 32.35530
428.6385, 31.03819
429.1206, 29.74068
429.6027, 28.72623
430.0848, 27.91212
430.5669, 27.20715
431.0490, 26.57994
431.5312, 25.97466
432.0133, 25.27863
432.4954, 24.60930
432.9775, 24.04655
433.4596, 23.68028
433.9417, 23.38794
434.4239, 22.90289
434.9060, 22.34485
435.3881, 21.95366
435.8702, 21.87463
436.3523, 21.95348
436.8344, 21.89769
437.3166, 21.66431
