##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
725.8842, 104.5742
726.3663, 132.5430
726.8484, 125.3584
727.3306, 108.7793
727.8127, 97.50684
728.2948, 93.35352
728.7769, 96.34863
729.2590, 108.5371
729.7411, 119.8975
730.2233, 120.1865
730.7054, 113.2627
731.1875, 106.4092
731.6696, 100.1484
732.1517, 91.60352
732.6339, 78.70312
733.1160, 66.94629
733.5981, 66.90234
734.0802, 80.35840
734.5623, 93.09375
735.0444, 108.5654
735.5266, 116.9922
736.0087, 107.8379
736.4908, 94.35840
736.9729, 92.21777
737.4550, 101.8311
737.9371, 107.3154
738.4193, 100.5273
738.9014, 93.85547
739.3835, 92.69336
739.8656, 95.88770
740.3477, 101.7266
740.8298, 110.6025
741.3120, 123.2656
741.7941, 142.6982
742.2762, 162.6660
742.7583, 172.8359
743.2404, 173.1533
743.7225, 158.7148
744.2047, 126.0918
744.6868, 102.7705
745.1689, 109.5322
745.6510, 135.8037
746.1331, 150.9619
746.6152, 151.4795
747.0973, 149.5996
747.5794, 141.0273
748.0615, 134.8828
748.5436, 136.8623
749.0258, 142.1836
749.5079, 141.6914
749.9900, 133.5068
750.4721, 129.1553
750.9542, 140.1553
751.4363, 151.7646
751.9185, 147.1943
