##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
425.0329, 265.1780
425.5150, 258.5382
425.9971, 254.2295
426.4792, 252.8950
426.9613, 252.5575
427.4435, 253.0398
427.9256, 254.6327
428.4077, 257.8625
428.8898, 263.1658
429.3719, 269.2393
429.8540, 275.6644
430.3362, 282.4736
430.8183, 291.1294
431.3004, 302.2843
431.7825, 313.2803
432.2646, 321.6206
432.7467, 327.2682
433.2289, 333.3463
433.7110, 340.4675
434.1931, 347.6385
434.6752, 353.3325
435.1573, 357.5199
435.6394, 359.9080
436.1216, 360.6330
436.6036, 359.3872
437.0858, 354.8604
437.5679, 346.9541
438.0500, 338.3200
438.5321, 330.7557
439.0142, 324.1485
439.4963, 318.3556
439.9785, 313.6052
440.4606, 309.2659
440.9427, 304.4264
441.4248, 299.5374
441.9069, 296.0031
442.3890, 294.7212
442.8712, 294.8713
443.3533, 296.0921
443.8354, 298.4645
444.3175, 301.2773
444.7996, 305.2117
445.2817, 309.0555
445.7639, 311.5715
446.2460, 312.9346
446.7281, 312.5107
447.2102, 309.7195
447.6923, 304.7785
448.1744, 299.4798
448.6566, 295.0044
449.1387, 288.8734
449.6208, 280.0688
450.1029, 268.4120
450.5850, 254.2246
451.0671, 236.7860
451.5493, 217.7532
452.0314, 199.4801
452.5135, 182.3418
452.9956, 164.9009
453.4777, 146.3329
453.9598, 127.4420
454.4420, 111.6572
454.9241, 99.34497
455.4062, 87.98035
455.8883, 75.29156
456.3704, 61.91194
456.8525, 51.05524
457.3347, 43.45621
457.8168, 37.68201
458.2989, 32.67702
458.7810, 28.24500
459.2631, 23.97182
459.7452, 19.05446
460.2274, 14.50304
460.7095, 11.84183
461.1916, 10.81573
461.6737, 9.779526
462.1558, 7.450546
462.6379, 4.778198
463.1201, 2.652756
463.6022, 1.392120
464.0843, 0.2886200
464.5664, 1.003830
465.0485, 2.317810
465.5306, 3.385376
466.0128, 4.154495
466.4949, 4.663437
466.9770, 4.842407
467.4591, 4.681366
467.9412, 4.537277
468.4233, 4.453247
468.9055, 4.355820
469.3876, 4.198151
469.8697, 3.943237
470.3518, 3.722656
470.8339, 3.631927
471.3160, 3.501495
471.7982, 2.937088
472.2803, 1.796219
472.7624, 0.8018490
473.2445, 0.3246920
473.7266, 0.1188350
474.2087, 0.9564210
474.6909, 2.930847
475.1730, 4.898270
475.6551, 5.883743
476.1372, 6.117996
476.6193, 6.842316
477.1014, 8.400238
477.5836, 10.33783
478.0657, 11.79021
478.5478, 12.85373
479.0299, 14.02849
479.5120, 15.73778
479.9941, 17.72527
480.4763, 19.79700
480.9584, 21.93504
481.4405, 23.95026
481.9226, 25.51183
482.4047, 27.05334
482.8868, 28.96080
483.3690, 31.47636
483.8511, 33.95158
484.3332, 36.25876
484.8153, 38.38907
485.2974, 40.38321
485.7795, 41.83502
486.2617, 43.57655
486.7438, 46.07611
487.2259, 49.31351
487.7080, 51.64017
488.1901, 52.93433
488.6722, 53.51143
489.1544, 53.47037
489.6365, 52.65030
490.1186, 51.84009
490.6007, 51.09906
491.0828, 50.32257
491.5649, 49.36211
492.0471, 48.23128
492.5292, 46.79024
493.0113, 44.94153
493.4934, 42.79489
493.9755, 40.52174
494.4576, 38.14819
494.9398, 35.85542
495.4219, 33.82823
495.9040, 31.96870
496.3861, 30.13321
496.8682, 28.23619
497.3503, 26.57571
497.8325, 25.35466
498.3146, 24.52715
498.7967, 23.99603
499.2788, 23.90126
