##NAMES=Ktenasite
##RRUFFID=R070081
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Amot, Modum, Norway
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Radial aggregates of bluish green tabular crystals, associated with colorless tabular gypsum crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070081
372.9186, 29.08685
373.4007, 13.65381
373.8828, 1.370789
374.3649, 7.986633
374.8470, 13.29517
375.3292, 9.718262
375.8113, 6.145996
376.2934, 19.13239
376.7755, 20.75867
377.2576, 10.67328
377.7397, 7.281128
378.2219, 12.47424
378.7040, 19.44769
379.1861, 18.33447
379.6682, 8.896973
380.1503, 0.3950810
380.6324, 7.390686
381.1146, 11.33990
381.5967, 5.978455
382.0788, 9.120911
382.5609, 26.74316
383.0430, 43.11102
383.5251, 57.07159
384.0073, 64.36725
384.4894, 60.53186
384.9715, 52.62793
385.4536, 50.83441
385.9357, 54.59662
386.4178, 59.94354
386.9000, 66.18262
387.3821, 72.06427
387.8642, 75.40625
388.3463, 74.69800
388.8284, 73.64673
389.3105, 76.40973
389.7927, 79.84650
390.2748, 80.21252
390.7569, 72.86444
391.2390, 65.57794
391.7211, 62.66376
392.2032, 64.30103
392.6854, 70.14630
393.1675, 84.38452
393.6496, 101.2443
394.1317, 114.6364
394.6138, 120.1981
395.0959, 124.6486
395.5781, 131.3124
396.0602, 139.6659
396.5423, 143.8874
397.0244, 138.2989
397.5065, 131.4174
397.9886, 128.0675
398.4708, 125.3201
398.9529, 129.9978
399.4350, 147.7950
399.9171, 173.6033
400.3992, 192.6491
400.8813, 203.5447
401.3635, 209.2358
401.8456, 209.5407
402.3277, 202.0624
402.8098, 198.9674
403.2919, 201.9499
403.7740, 207.6503
404.2562, 209.8609
404.7383, 205.4667
405.2204, 209.7367
405.7025, 231.3409
406.1846, 266.5743
406.6667, 286.2911
407.1489, 288.0938
407.6310, 283.4724
408.1131, 284.6797
408.5952, 291.3494
409.0773, 292.3535
409.5594, 282.8185
410.0416, 269.6813
410.5237, 267.0499
411.0058, 274.0065
411.4879, 280.7557
411.9700, 281.2302
412.4521, 277.2297
412.9343, 272.2633
413.4164, 266.6030
413.8985, 260.1421
414.3806, 250.9370
414.8628, 240.8923
415.3449, 234.0729
415.8270, 235.7056
416.3091, 238.7978
416.7912, 237.2896
417.2733, 231.6033
417.7555, 226.3336
418.2376, 223.1014
418.7197, 221.7503
419.2018, 222.1692
419.6839, 229.2261
420.1660, 232.4345
420.6482, 223.5552
421.1303, 206.9010
421.6124, 197.6097
422.0945, 205.2983
422.5766, 216.0104
423.0587, 223.6964
423.5409, 227.8000
