##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
576.8551, 871.2297
577.3372, 883.4180
577.8193, 901.2380
578.3015, 922.3396
578.7836, 945.1323
579.2657, 969.3108
579.7478, 995.7283
580.2299, 1024.537
580.7120, 1054.349
581.1942, 1085.589
581.6763, 1116.589
582.1584, 1141.100
582.6405, 1152.943
583.1226, 1163.866
583.6047, 1185.629
584.0869, 1215.967
584.5690, 1248.187
585.0511, 1281.211
585.5332, 1313.681
586.0153, 1343.343
586.4974, 1370.339
586.9796, 1401.045
587.4617, 1452.346
587.9438, 1495.290
588.4259, 1511.076
588.9080, 1471.846
589.3901, 1465.246
589.8723, 1504.991
590.3544, 1563.249
590.8365, 1595.762
591.3186, 1598.824
591.8007, 1613.922
592.2828, 1656.018
592.7650, 1711.880
593.2471, 1748.539
593.7292, 1767.796
594.2113, 1786.130
594.6934, 1817.053
595.1755, 1851.431
595.6577, 1877.070
596.1398, 1893.283
596.6219, 1906.701
597.1040, 1919.120
597.5862, 1931.896
598.0683, 1946.348
598.5504, 1961.420
599.0325, 1980.224
599.5146, 2005.095
599.9968, 2033.581
600.4789, 2062.261
600.9610, 2097.206
601.4431, 2121.323
601.9252, 2125.789
602.4073, 2116.344
602.8895, 2125.611
603.3716, 2158.508
603.8537, 2188.673
604.3358, 2198.089
604.8179, 2190.994
605.3000, 2191.618
605.7822, 2200.945
606.2643, 2213.026
606.7464, 2226.189
607.2285, 2237.597
607.7106, 2242.007
608.1927, 2235.931
608.6749, 2227.655
609.1570, 2223.486
609.6391, 2220.677
610.1212, 2214.663
610.6033, 2204.261
611.0854, 2190.240
611.5676, 2167.484
612.0497, 2138.360
612.5318, 2125.236
613.0139, 2141.474
613.4960, 2154.599
613.9781, 2150.652
614.4603, 2129.101
614.9424, 2095.113
615.4245, 2043.956
615.9066, 1997.031
616.3887, 1983.376
616.8708, 1995.341
617.3530, 1991.237
617.8351, 1962.465
618.3172, 1919.959
618.7993, 1862.950
619.2814, 1801.852
619.7635, 1758.515
620.2457, 1758.986
620.7278, 1764.644
621.2099, 1756.318
621.6920, 1735.061
622.1741, 1707.126
622.6563, 1666.849
623.1384, 1626.772
623.6205, 1591.460
624.1026, 1560.937
624.5847, 1536.460
625.0668, 1524.311
625.5490, 1508.777
626.0311, 1472.572
626.5132, 1412.981
626.9953, 1371.621
627.4774, 1356.932
627.9595, 1348.591
628.4417, 1312.966
628.9238, 1257.250
629.4059, 1210.995
629.8880, 1188.844
630.3701, 1175.001
630.8522, 1157.082
631.3344, 1134.668
631.8165, 1105.893
632.2986, 1054.769
632.7807, 1009.905
633.2628, 992.8550
633.7449, 1007.143
634.2271, 1006.669
634.7092, 978.4259
635.1913, 941.9220
635.6734, 906.6085
636.1555, 872.3826
636.6376, 839.4141
637.1198, 804.3661
637.6019, 776.5698
638.0840, 772.4539
638.5661, 789.9076
639.0482, 798.2653
639.5303, 790.0173
640.0125, 770.8317
640.4946, 740.0881
640.9767, 704.5333
641.4588, 683.1624
641.9409, 709.9263
642.4230, 734.5803
642.9052, 713.2600
643.3873, 651.9707
643.8694, 602.4900
644.3515, 583.9700
644.8336, 577.7437
645.3157, 575.3943
645.7979, 576.4359
646.2800, 584.6882
646.7621, 607.4629
647.2442, 625.9702
647.7263, 620.3827
648.2084, 588.1221
648.6906, 566.2422
649.1727, 559.6096
649.6548, 560.1270
650.1369, 557.9312
650.6190, 553.8105
651.1011, 551.2039
651.5833, 556.6489
652.0654, 557.5394
652.5475, 534.4280
653.0296, 495.9862
653.5117, 467.0156
653.9938, 459.3408
654.4760, 463.9663
654.9581, 479.4315
655.4402, 504.9641
655.9223, 526.7805
656.4044, 549.6484
656.8865, 563.7709
657.3687, 560.8940
657.8508, 535.8706
658.3329, 518.5571
658.8150, 509.3434
659.2971, 508.2202
659.7792, 521.4750
660.2614, 545.7863
660.7435, 558.2957
661.2256, 551.1030
661.7077, 536.5516
662.1898, 528.5685
662.6719, 525.0050
663.1541, 521.0525
663.6362, 515.0529
664.1183, 507.8944
664.6004, 497.5188
665.0825, 487.4900
665.5646, 486.1743
666.0468, 507.7180
666.5289, 521.7595
667.0110, 517.4064
667.4931, 495.4208
667.9752, 483.1804
668.4573, 482.8959
668.9395, 482.6112
669.4216, 472.2952
669.9037, 454.7916
670.3858, 448.2947
670.8679, 454.8588
671.3500, 460.0858
671.8322, 441.9058
672.3143, 415.4807
672.7964, 407.0873
673.2785, 433.4066
673.7606, 454.5006
674.2427, 440.2062
674.7249, 408.1263
675.2070, 383.1464
675.6891, 381.2987
676.1712, 374.3044
676.6533, 353.9208
677.1354, 326.7137
677.6176, 311.6710
678.0997, 313.3121
678.5818, 311.9229
679.0639, 296.0717
679.5460, 272.2605
680.0281, 273.3491
680.5103, 297.8696
680.9924, 313.3979
681.4745, 284.2235
681.9566, 239.0687
682.4387, 221.2579
682.9208, 234.2014
683.4030, 243.9563
683.8851, 229.2108
684.3672, 204.8888
684.8493, 181.6158
685.3314, 155.9659
685.8135, 141.9047
686.2957, 149.1052
686.7778, 160.6300
687.2599, 156.9440
687.7420, 133.1211
688.2241, 115.1741
688.7062, 107.8883
689.1884, 105.6805
689.6705, 97.54443
690.1526, 84.82349
690.6347, 75.86462
691.1168, 77.41541
691.5989, 80.85938
692.0811, 76.90344
692.5632, 66.93713
693.0453, 54.86487
693.5274, 35.75879
694.0095, 20.92603
694.4916, 20.18237
694.9738, 33.89148
695.4559, 35.78699
695.9380, 16.15991
696.4201, 3.899902
696.9022, 14.35706
697.3843, 14.13098
697.8665, 14.41821
698.3486, 14.95190
698.8307, 16.35925
699.3128, 20.74316
699.7949, 26.61060
700.2770, 29.55457
700.7592, 28.95593
701.2413, 25.13098
701.7234, 12.82300
702.2055, 0.6893310
702.6876, 5.324219
703.1697, 10.64197
703.6519, 23.29639
704.1340, 22.49109
704.6161, 15.29413
705.0982, 15.17981
705.5803, 28.41022
706.0624, 36.56311
706.5446, 36.07263
707.0267, 28.18414
707.5088, 12.89838
707.9909, 10.04645
708.4730, 25.33966
708.9551, 20.73535
709.4373, 6.770386
709.9194, 5.033508
710.4015, 12.91083
