##NAMES=Stibnite
##RRUFFID=R120137
##IDEAL CHEMISTRY=Sb_2_S_3_
##LOCALITY=Green Prospect, Churchill Co., Nevada, USA
##OWNER=RRUFF
##SOURCE=Benjamin N. Schumer
##DESCRIPTION=Lead-gray prismatic crystals on matrix of senarmontite, sulphur and selenium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120137
471.1981, 18.80414
471.6802, 17.08167
472.1623, 15.73157
472.6444, 14.81207
473.1265, 14.13452
473.6086, 13.54865
474.0908, 13.05206
474.5729, 12.64203
475.0550, 12.29028
475.5371, 12.05444
476.0192, 12.17987
476.5013, 12.59943
476.9835, 12.82996
477.4656, 12.54620
477.9477, 11.92603
478.4298, 11.12213
478.9119, 10.12122
479.3940, 9.364014
479.8762, 9.446045
480.3583, 9.898010
480.8404, 10.12488
481.3225, 10.02911
481.8046, 9.586365
482.2867, 8.466064
482.7689, 6.982910
483.2510, 5.931091
483.7331, 6.077087
484.2152, 6.304382
484.6973, 6.152161
485.1794, 5.561523
485.6616, 4.778503
486.1437, 3.632690
486.6258, 2.420959
487.1079, 1.313110
487.5900, 5.2551001E-02
488.0721, 0.5870970
488.5543, 0.1764530
489.0364, 1.632324
489.5185, 2.098755
490.0006, 1.297363
490.4827, 0.3853760
490.9648, 0.2799070
491.4470, 0.7006230
491.9291, 0.3253170
492.4112, 1.028625
492.8933, 2.294189
493.3754, 2.130798
493.8575, 0.8748780
494.3397, 3.0517999E-02
494.8218, 9.3810998E-02
495.3039, 0.4284060
495.7860, 0.1390990
496.2681, 1.247559
496.7502, 1.680420
497.2324, 0.2482300
497.7145, 2.504700
498.1966, 2.957214
498.6787, 1.458679
499.1608, 0.1782230
499.6429, 0.6599730
500.1251, 1.616821
500.6072, 1.894409
501.0893, 3.3080999E-02
501.5714, 0.9450070
502.0535, 1.241333
502.5356, 4.867615
503.0178, 6.152405
503.4999, 1.495728
503.9820, 1.837280
504.4641, 1.219910
504.9462, 3.578735
505.4283, 5.257629
505.9105, 2.236328
506.3926, 1.449463
506.8747, 2.613586
507.3568, 0.8515010
507.8389, 0.7958980
508.3210, 2.162903
508.8032, 3.110107
509.2853, 3.034790
509.7674, 1.986877
510.2495, 1.380859
510.7316, 2.136658
511.2137, 3.519409
511.6959, 3.735962
512.1780, 2.864563
512.6601, 2.085266
513.1422, 2.520691
513.6243, 3.445374
514.1064, 3.914429
514.5886, 3.682739
515.0707, 3.295349
515.5528, 2.850342
516.0349, 2.634766
516.5170, 2.905457
516.9991, 4.676208
517.4813, 5.807800
517.9634, 5.095581
518.4455, 2.842468
518.9276, 1.497681
519.4097, 2.153381
519.8918, 3.057800
520.3740, 3.376526
520.8561, 2.580261
521.3382, 3.204590
521.8203, 6.153564
522.3024, 9.384827
522.7845, 10.19189
523.2667, 8.001587
523.7488, 6.603821
524.2309, 7.034485
524.7130, 8.513428
525.1951, 8.746460
525.6772, 7.707947
526.1594, 6.853394
526.6415, 7.524048
527.1236, 8.901978
527.6057, 8.917053
528.0878, 7.498352
528.5699, 6.016174
529.0521, 5.472656
529.5342, 5.613159
530.0163, 6.209656
530.4984, 7.625122
530.9805, 8.705322
531.4626, 8.578735
531.9448, 7.675842
532.4269, 6.833801
532.9090, 5.507141
533.3911, 5.024292
533.8732, 6.537842
534.3553, 10.15552
534.8375, 11.82599
535.3196, 9.951172
535.8017, 7.588501
536.2838, 6.411926
536.7659, 6.899841
537.2480, 7.226624
537.7302, 7.384827
538.2123, 7.375000
538.6944, 7.092468
539.1765, 6.495117
539.6586, 5.913147
540.1407, 5.365906
540.6229, 4.981506
541.1050, 5.329163
541.5871, 6.327148
542.0692, 7.017029
542.5513, 6.726379
543.0334, 5.801636
543.5156, 4.646606
543.9977, 3.289490
544.4798, 2.037842
544.9619, 0.9530640
545.4440, 0.1644900
545.9261, 0.1813960
546.4083, 0.2792970
546.8904, 0.7593380
547.3725, 0.8793950
547.8546, 0.8180540
548.3367, 0.9641720
548.8188, 1.445801
549.3010, 2.021179
549.7831, 2.694275
550.2652, 3.457642
550.7473, 4.100952
551.2294, 4.521545
551.7115, 4.999878
552.1937, 5.888672
552.6758, 7.319824
553.1579, 8.060852
553.6400, 8.098694
554.1221, 7.337891
554.6042, 5.155457
555.0864, 1.951660
555.5685, 0.3936160
556.0506, 1.215576
556.5327, 0.9797970
557.0148, 9.4116002E-02
557.4969, 1.777039
557.9791, 3.231323
558.4612, 4.016602
558.9433, 4.314453
559.4254, 4.140381
559.9075, 3.567688
560.3896, 2.878723
560.8718, 1.762695
561.3539, 0.8571780
561.8360, 0.5902100
562.3181, 1.965027
562.8002, 2.895996
563.2823, 2.938477
563.7645, 2.570435
564.2466, 2.519653
564.7287, 3.236816
565.2108, 3.416626
565.6929, 2.432129
566.1750, 0.6048580
566.6572, 0.5571900
567.1393, 1.048523
567.6214, 0.8975220
568.1035, 0.2505490
568.5856, 2.058411
569.0677, 3.297546
569.5499, 3.897217
570.0320, 4.106384
570.5141, 4.049316
570.9962, 3.767822
571.4783, 3.342285
571.9604, 2.807068
572.4426, 2.092773
572.9247, 0.6135250
573.4068, 0.9961550
573.8889, 1.630676
574.3710, 0.3488770
574.8531, 2.107544
575.3353, 2.477478
575.8174, 1.558655
576.2995, 1.139343
576.7816, 1.803223
577.2637, 2.338196
577.7458, 2.019958
578.2280, 0.4735110
578.7101, 0.2694700
579.1922, 1.883362
579.6743, 3.790833
580.1564, 4.371216
580.6385, 3.679260
581.1207, 2.587280
581.6028, 1.037354
582.0849, 0.3688960
582.5670, 0.5515140
583.0491, 0.1867680
583.5313, 1.019897
584.0134, 1.693481
584.4955, 2.200134
584.9776, 2.426086
585.4597, 2.431396
585.9418, 2.549011
586.4240, 3.270386
586.9061, 3.887207
587.3882, 3.895386
587.8703, 3.013794
588.3524, 2.396240
588.8345, 2.265503
589.3167, 2.405273
589.7988, 2.859497
590.2809, 3.982971
590.7630, 4.825989
591.2451, 5.418091
591.7272, 5.611816
592.2094, 4.728699
592.6915, 2.650146
593.1736, 1.616455
593.6557, 3.060974
594.1378, 5.664917
594.6199, 5.721436
595.1021, 3.383789
595.5842, 1.206787
596.0663, 1.023499
596.5484, 1.782532
597.0305, 2.374756
597.5126, 2.712280
597.9948, 2.822571
598.4769, 2.389404
598.9590, 1.918518
599.4411, 1.883484
599.9232, 2.896240
600.4053, 3.500977
600.8875, 3.065430
601.3696, 2.273499
601.8517, 2.137085
602.3338, 3.233887
602.8159, 3.797913
603.2980, 3.234314
603.7802, 1.978149
604.2623, 1.765930
604.7444, 2.736206
605.2265, 3.521301
605.7086, 2.991333
606.1907, 1.719421
606.6729, 1.928101
607.1550, 3.565796
607.6371, 5.258118
608.1192, 5.847900
608.6013, 5.838074
609.0834, 5.942627
609.5656, 6.388855
610.0477, 6.450256
610.5298, 5.111511
611.0119, 3.444153
611.4940, 2.641052
611.9761, 4.268921
612.4583, 5.277283
612.9404, 4.481567
613.4225, 2.825500
613.9046, 2.785278
614.3867, 5.641907
614.8688, 7.665955
615.3510, 7.492310
615.8331, 5.470093
616.3152, 3.921509
616.7973, 2.787048
617.2794, 2.570129
617.7615, 4.370483
618.2437, 7.284424
618.7258, 8.751526
619.2079, 8.588745
619.6900, 7.828857
620.1721, 7.304504
620.6542, 6.718079
621.1364, 5.608704
621.6185, 3.367920
622.1006, 1.725342
622.5827, 1.809082
623.0648, 2.836853
623.5469, 3.713318
624.0291, 4.553101
624.5112, 4.802856
624.9933, 4.169006
625.4754, 3.013611
625.9575, 2.536133
626.4396, 2.988342
626.9218, 3.226379
627.4039, 2.544189
627.8860, 1.246460
628.3681, 1.501770
628.8502, 3.370117
629.3323, 5.128540
629.8145, 4.862122
630.2966, 3.725525
630.7787, 4.400391
631.2608, 7.253296
631.7429, 9.364075
632.2250, 7.777405
632.7072, 4.752502
633.1893, 2.791809
633.6714, 3.102661
634.1535, 3.515991
634.6356, 3.182251
635.1177, 2.705078
635.5999, 3.137329
636.0820, 5.782227
636.5641, 7.121338
637.0462, 6.132080
637.5283, 3.592407
638.0104, 2.339783
638.4926, 2.588684
638.9747, 2.708557
639.4568, 1.512085
639.9389, 0.3614500
640.4210, 0.1380620
640.9031, 2.126831
641.3853, 4.266113
641.8674, 4.654907
642.3495, 4.048096
642.8316, 3.073669
643.3137, 1.710693
643.7958, 0.9381100
644.2780, 2.256104
644.7601, 3.809509
645.2422, 3.880432
645.7243, 7.6355003E-02
646.2064, 1.916077
646.6885, 0.9293820
647.1707, 1.417297
647.6528, 3.075134
648.1349, 4.062317
648.6170, 4.233643
649.0991, 3.324341
649.5812, 1.817810
650.0634, 0.8237300
650.5455, 0.3092650
651.0276, 0.1320800
651.5097, 1.186829
651.9918, 1.958313
652.4739, 0.3170170
652.9561, 3.196045
653.4382, 5.835083
653.9203, 5.273376
654.4024, 3.843933
654.8845, 3.189758
655.3666, 3.564026
655.8488, 3.467712
656.3309, 1.682251
656.8130, 6.0419999E-03
657.2951, 0.4064330
657.7772, 1.070007
658.2593, 2.136108
658.7415, 2.661316
659.2236, 2.988464
659.7057, 3.790344
660.1878, 5.039673
660.6699, 4.992126
661.1520, 2.969177
661.6342, 0.4664310
662.1163, 0.3163450
662.5984, 0.1464840
663.0805, 0.5768430
663.5626, 0.2276000
664.0447, 0.1062620
664.5269, 0.4213260
665.0090, 1.449646
665.4911, 1.938416
665.9732, 0.6716920
666.4553, 0.3009640
666.9374, 9.3506001E-02
667.4196, 1.219543
667.9017, 2.559937
668.3838, 4.226196
668.8659, 5.413208
669.3480, 5.665405
669.8301, 4.997681
670.3123, 3.947571
670.7944, 2.424072
671.2765, 1.214355
671.7586, 1.125732
672.2407, 1.836670
672.7228, 2.714783
673.2050, 3.721252
673.6871, 4.568359
674.1692, 5.011597
674.6513, 5.181580
675.1334, 5.218811
675.6155, 5.081665
676.0977, 4.911438
676.5798, 4.602356
677.0619, 4.319031
677.5440, 4.333435
678.0261, 4.851379
678.5082, 5.280029
678.9904, 5.530823
679.4725, 5.660156
679.9546, 5.727173
680.4367, 5.735535
680.9188, 5.929810
681.4009, 6.533691
681.8831, 7.322937
682.3652, 7.953857
682.8473, 8.418945
683.3294, 8.616943
683.8115, 8.202759
684.2936, 7.726929
684.7758, 7.590454
685.2579, 7.817566
685.7400, 8.134827
686.2221, 7.891907
686.7042, 8.230652
687.1863, 10.04321
687.6685, 14.07904
688.1506, 16.08136
688.6327, 15.40900
689.1148, 14.05609
689.5969, 13.61230
690.0790, 14.05267
690.5612, 15.37506
691.0433, 17.73560
691.5254, 20.09033
692.0075, 21.02679
692.4896, 21.08038
692.9717, 21.18860
693.4539, 21.48804
693.9360, 22.13226
694.4181, 23.50995
694.9002, 25.21454
695.3823, 26.62305
695.8644, 26.95294
696.3466, 27.85736
696.8287, 29.68951
697.3108, 32.17859
697.7929, 34.61481
698.2750, 37.12402
698.7571, 39.40912
699.2393, 41.32709
699.7214, 43.01251
700.2035, 44.99133
700.6856, 47.27057
701.1677, 49.40442
701.6498, 50.57684
702.1320, 51.79559
702.6141, 54.62463
703.0962, 58.86432
703.5783, 62.47949
704.0604, 63.72778
704.5425, 64.71814
705.0247, 66.54285
705.5068, 69.41180
705.9889, 72.09308
706.4710, 74.47131
706.9531, 76.87775
707.4352, 79.54492
707.9174, 82.49365
708.3995, 85.44183
708.8816, 88.47382
709.3637, 91.02686
709.8458, 92.18817
710.3279, 92.65948
710.8101, 93.93018
711.2922, 96.48828
711.7743, 98.85736
712.2564, 100.6898
712.7385, 101.4171
713.2206, 100.3033
713.7028, 95.83063
714.1849, 91.36761
714.6670, 87.68909
715.1491, 84.31232
715.6312, 80.66815
716.1133, 76.91583
716.5955, 72.39557
717.0776, 66.83386
717.5597, 60.66718
718.0418, 54.88257
718.5239, 49.41351
719.0060, 44.12024
719.4882, 38.63171
719.9703, 33.60406
720.4524, 30.02692
720.9345, 27.59784
721.4166, 25.35278
721.8987, 22.79620
722.3809, 20.38086
722.8630, 18.38525
723.3451, 16.78650
723.8272, 15.29767
724.3093, 13.89050
724.7914, 12.64941
725.2736, 11.70502
725.7557, 11.02460
726.2378, 9.991821
726.7199, 8.553772
727.2020, 7.068787
727.6841, 5.304871
728.1663, 3.761841
728.6484, 4.041565
729.1305, 6.109680
729.6126, 7.797302
730.0947, 7.443726
730.5768, 6.222351
731.0590, 4.850098
731.5411, 3.238098
732.0232, 2.418640
732.5053, 3.434570
732.9874, 4.580383
733.4695, 4.833008
733.9517, 3.979065
734.4338, 2.730591
734.9159, 0.8140260
735.3980, 0.7620850
735.8801, 0.4645390
736.3622, 1.197266
736.8444, 1.907959
737.3265, 1.117798
737.8086, 0.3810420
738.2907, 1.453674
738.7728, 3.367859
739.2549, 4.869507
739.7371, 5.576965
740.2192, 5.953796
740.7013, 6.022644
741.1834, 5.873108
741.6655, 5.660645
742.1476, 5.513977
742.6298, 4.923645
743.1119, 3.442932
743.5940, 1.831970
744.0761, 1.349670
744.5582, 1.946777
745.0403, 3.409363
745.5225, 6.315125
746.0046, 8.911072
746.4867, 8.354370
746.9688, 5.884644
747.4509, 4.182190
747.9330, 5.520264
748.4152, 6.611816
748.8973, 5.860901
749.3794, 3.817139
749.8615, 2.317078
750.3436, 1.339966
750.8257, 1.126831
751.3079, 2.210144
751.7900, 3.946960
752.2721, 3.604187
752.7542, 1.195007
753.2363, 0.8919070
