##NAMES=Cafetite
##RRUFFID=R060872
##IDEAL CHEMISTRY=CaTi_2_O_5_&#183;H_2_O
##LOCALITY=Magnet Cove, Arkansas, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale brown colored pseudohexagonal plates, associated with pectolite and albite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060872
583.3904, 574.8884
583.8725, 581.8000
584.3546, 600.3367
584.8367, 626.4812
585.3188, 658.1462
585.8010, 695.8545
586.2831, 733.0593
586.7652, 764.4995
587.2473, 795.0879
587.7294, 830.2153
588.2115, 878.8816
588.6937, 922.0693
589.1758, 957.0095
589.6579, 985.5959
590.1400, 1011.214
590.6221, 1029.472
591.1042, 1055.136
591.5864, 1096.822
592.0685, 1152.125
592.5506, 1193.055
593.0327, 1217.923
593.5148, 1235.552
593.9969, 1255.193
594.4791, 1276.284
594.9612, 1292.288
595.4433, 1299.288
595.9254, 1306.190
596.4075, 1325.285
596.8896, 1351.799
597.3718, 1376.664
597.8539, 1395.529
598.3360, 1412.042
598.8181, 1426.238
599.3002, 1440.020
599.7823, 1457.635
600.2645, 1494.585
600.7466, 1520.337
601.2287, 1514.950
601.7108, 1474.213
602.1929, 1470.523
602.6750, 1523.016
603.1572, 1582.287
603.6393, 1613.277
604.1214, 1613.171
604.6035, 1611.804
605.0856, 1609.958
605.5677, 1610.822
606.0499, 1621.566
606.5320, 1639.956
607.0141, 1656.495
607.4962, 1668.520
607.9783, 1675.096
608.4604, 1668.724
608.9425, 1654.923
609.4246, 1650.568
609.9067, 1671.722
610.3889, 1698.219
610.8710, 1719.380
611.3531, 1734.429
611.8352, 1744.888
612.3173, 1749.689
612.7994, 1751.180
613.2816, 1750.533
613.7637, 1744.906
614.2458, 1745.119
614.7279, 1752.088
615.2100, 1763.105
615.6921, 1777.413
616.1743, 1796.638
616.6564, 1810.620
617.1385, 1815.700
617.6206, 1813.662
618.1027, 1805.017
618.5848, 1791.938
619.0670, 1787.890
619.5491, 1813.813
620.0312, 1842.805
620.5133, 1842.458
620.9954, 1813.505
621.4775, 1785.956
621.9597, 1775.887
622.4418, 1772.475
622.9239, 1769.146
623.4060, 1767.398
623.8881, 1759.092
624.3702, 1741.078
624.8524, 1717.421
625.3345, 1690.846
625.8166, 1657.221
626.2987, 1632.182
626.7808, 1621.317
627.2629, 1616.809
627.7451, 1598.694
628.2272, 1566.882
628.7093, 1536.258
629.1914, 1516.264
629.6735, 1500.240
630.1556, 1473.441
630.6378, 1437.038
631.1199, 1400.234
631.6020, 1368.947
632.0841, 1340.264
632.5662, 1310.344
633.0483, 1277.633
633.5305, 1250.718
634.0126, 1235.652
634.4947, 1226.743
634.9768, 1219.848
635.4589, 1221.443
635.9410, 1212.903
636.4232, 1190.915
636.9053, 1160.842
637.3874, 1129.941
637.8695, 1096.179
638.3516, 1069.485
638.8337, 1055.117
639.3159, 1049.308
639.7980, 1035.649
640.2801, 1013.583
640.7622, 994.2866
641.2443, 990.8186
641.7264, 992.5808
642.2086, 983.9302
642.6907, 965.2446
643.1728, 947.5156
643.6549, 932.4109
644.1370, 921.7766
644.6191, 918.8442
645.1013, 931.3936
645.5834, 937.7190
646.0655, 927.8320
646.5476, 910.1970
647.0297, 894.7939
647.5118, 883.5767
647.9940, 876.1694
648.4761, 872.1924
648.9582, 869.6660
649.4403, 863.3779
649.9224, 853.2019
650.4045, 845.2429
650.8867, 846.5752
651.3688, 848.3491
651.8509, 827.3972
652.3330, 788.2173
652.8151, 760.4072
653.2972, 774.8604
653.7794, 800.8655
654.2615, 815.6738
654.7436, 817.1055
655.2257, 806.6372
655.7078, 769.9072
656.1899, 731.1199
656.6721, 708.5986
657.1542, 710.2341
657.6363, 714.8389
658.1184, 726.2134
658.6005, 736.4790
659.0826, 733.8533
659.5648, 717.4854
660.0469, 696.0332
660.5290, 668.5662
661.0111, 641.1475
661.4932, 624.9026
661.9753, 618.8960
662.4575, 619.5420
662.9396, 632.5645
663.4217, 646.1775
663.9038, 650.6226
664.3859, 646.2578
664.8680, 635.8550
665.3502, 614.6604
665.8323, 592.6892
666.3144, 574.7634
666.7965, 561.5542
667.2786, 551.4800
667.7607, 545.6406
668.2429, 541.2998
668.7250, 536.8284
669.2071, 532.3157
669.6892, 526.2488
670.1713, 519.2637
670.6534, 507.8757
671.1355, 483.0691
671.6176, 448.8081
672.0997, 421.6682
672.5818, 407.9077
673.0640, 399.8430
673.5461, 389.8638
674.0282, 380.1797
674.5103, 375.2056
674.9924, 387.5991
675.4745, 394.7085
675.9567, 385.7793
676.4388, 362.4387
676.9209, 337.8694
677.4030, 308.2886
677.8851, 284.1077
678.3672, 270.5190
