##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
644.5707, 0.6144660
645.0529, 0.4362050
645.5350, 0.3687120
646.0171, 0.4088200
646.4992, 0.5122000
646.9813, 0.6290300
647.4634, 0.7762820
647.9456, 0.9797450
648.4277, 1.223151
648.9098, 1.323377
649.3919, 1.210063
649.8740, 1.025403
650.3561, 0.6949920
650.8383, 0.3857010
651.3204, 0.3420820
651.8025, 0.6010810
652.2846, 0.8957680
652.7667, 1.251644
653.2488, 1.496626
653.7310, 1.242109
654.2131, 0.6622120
654.6952, 0.4789340
655.1773, 1.026093
655.6594, 1.788722
656.1415, 1.964154
656.6237, 1.382211
657.1058, 0.9539140
657.5879, 0.6328470
658.0700, 0.4986750
658.5521, 0.7565480
659.0342, 1.141268
659.5164, 1.277035
659.9985, 1.098791
660.4806, 0.9335650
660.9627, 1.062413
661.4448, 1.306889
661.9269, 1.227151
662.4091, 0.8207430
662.8912, 0.5615600
663.3733, 0.7313220
663.8554, 1.099963
664.3375, 1.192930
664.8196, 0.8415830
665.3018, 0.7063070
665.7839, 1.047724
666.2660, 1.378938
666.7481, 1.369054
667.2302, 1.155554
667.7123, 1.009495
668.1945, 1.027871
668.6766, 1.124508
669.1587, 1.230547
669.6408, 1.337377
670.1229, 1.308301
670.6050, 1.090405
671.0872, 0.9320690
671.5693, 0.9336780
672.0514, 1.053259
672.5335, 1.309365
673.0156, 1.782388
673.4977, 1.993967
673.9799, 1.496614
674.4620, 0.9307530
674.9441, 0.8819570
675.4262, 1.233461
675.9083, 1.587453
676.3904, 1.766040
676.8726, 1.795564
677.3547, 1.702968
677.8368, 1.465104
678.3189, 1.252205
678.8010, 0.9897370
679.2831, 0.8937570
679.7653, 1.199846
680.2474, 1.590240
680.7295, 1.615255
681.2116, 1.174071
681.6937, 0.7544480
682.1758, 0.6309950
682.6580, 0.6800860
683.1401, 0.7379550
683.6222, 0.8113240
684.1043, 1.045246
684.5864, 1.539584
685.0685, 2.035717
685.5507, 2.047748
686.0328, 1.394076
686.5149, 0.9830670
686.9970, 0.9416460
687.4791, 0.9954400
687.9612, 1.241511
688.4434, 1.478579
688.9255, 1.359251
689.4076, 0.8109280
689.8897, 0.3510320
690.3718, 0.5616480
690.8539, 1.085460
691.3361, 1.131405
691.8182, 0.7066510
692.3003, 0.4435380
692.7824, 0.6531440
693.2645, 1.049636
693.7466, 1.185872
694.2288, 1.006388
694.7109, 0.7857040
695.1930, 0.3995190
695.6751, 0.1206590
696.1572, 0.1211390
