##NAMES=Vesuvianite
##RRUFFID=R060902
##IDEAL CHEMISTRY=(Ca,Na)_19_(Al,Mg,Fe)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_
##LOCALITY=Jeffrey mine, Asbestos, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple equant, doubly terminated prismatic single crystals.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060902
464.5214, 57.86743
465.0035, 42.09448
465.4856, 30.40625
465.9677, 33.51270
466.4499, 72.02930
466.9320, 99.75317
467.4141, 110.1289
467.8962, 109.9771
468.3783, 114.8660
468.8604, 126.6821
469.3426, 140.5132
469.8247, 154.7275
470.3068, 169.0371
470.7889, 186.3953
471.2710, 206.7659
471.7531, 230.2629
472.2353, 258.1565
472.7174, 290.8569
473.1995, 321.9128
473.6816, 349.0774
474.1637, 374.9436
474.6458, 404.6201
475.1280, 438.0881
475.6101, 474.9031
476.0922, 516.7947
476.5743, 562.1877
477.0564, 605.6550
477.5385, 646.1340
478.0207, 686.0840
478.5028, 728.2949
478.9849, 773.0986
479.4670, 820.9988
479.9491, 880.9873
480.4312, 937.1948
480.9134, 978.5276
481.3955, 1005.925
481.8776, 1026.708
482.3597, 1039.954
482.8418, 1049.875
483.3239, 1059.957
483.8060, 1078.796
484.2881, 1084.901
484.7703, 1065.222
485.2524, 1032.054
485.7345, 1010.087
486.2166, 1017.280
486.6987, 1012.317
487.1808, 980.7236
487.6630, 920.5007
488.1451, 868.9319
488.6272, 828.6042
489.1093, 793.3579
489.5914, 757.2561
490.0735, 720.1328
490.5557, 687.1443
491.0378, 661.2239
491.5199, 637.5815
492.0020, 600.9670
492.4841, 552.3411
492.9662, 514.4624
493.4484, 508.1523
493.9305, 520.1851
494.4126, 518.4553
494.8947, 500.8979
495.3768, 485.3169
495.8589, 492.5205
496.3411, 511.0872
496.8232, 522.2781
497.3053, 515.1624
497.7874, 504.2971
498.2695, 497.3564
498.7516, 494.0081
499.2338, 493.2334
499.7159, 494.5750
500.1980, 497.1440
500.6801, 500.3979
501.1622, 506.4783
501.6443, 509.0447
502.1265, 502.5396
502.6086, 495.1709
503.0907, 495.2598
503.5728, 510.3577
504.0549, 520.8884
504.5370, 521.3997
505.0192, 515.6218
505.5013, 522.1157
505.9834, 543.7788
506.4655, 568.5835
506.9476, 593.3413
507.4297, 617.1606
507.9119, 631.8975
508.3940, 635.2739
508.8761, 633.6133
509.3582, 635.3940
509.8403, 640.4058
510.3224, 645.3899
510.8046, 645.3176
511.2867, 645.6770
511.7688, 661.1211
512.2509, 689.2874
512.7330, 710.5129
513.2151, 705.4688
513.6973, 688.9031
514.1794, 676.7244
514.6615, 672.8042
515.1436, 669.0330
515.6257, 658.6091
516.1078, 645.5928
516.5900, 638.0244
517.0721, 652.7148
517.5542, 657.3328
518.0363, 636.7747
518.5184, 592.1445
519.0005, 559.7000
519.4827, 546.9902
519.9648, 538.7698
520.4469, 528.4536
520.9290, 517.8716
521.4111, 498.4553
521.8932, 466.7969
522.3754, 430.2559
522.8575, 401.9548
523.3396, 382.5986
523.8217, 360.0024
524.3038, 327.3369
524.7859, 290.2068
525.2681, 267.4861
525.7502, 258.7188
526.2323, 248.5500
526.7144, 219.0903
527.1965, 181.6663
527.6786, 158.1008
528.1608, 153.6431
528.6429, 154.2224
529.1250, 152.5356
529.6071, 147.6792
530.0892, 138.2566
530.5714, 114.5205
531.0535, 94.59399
531.5356, 92.28174
532.0176, 104.8801
532.4998, 107.0759
532.9819, 81.67578
533.4640, 53.81592
533.9461, 35.58301
534.4282, 26.37842
534.9103, 29.68994
535.3925, 54.22070
535.8746, 84.70630
536.3567, 99.53711
536.8388, 94.58838
537.3209, 87.99219
537.8030, 80.88184
538.2852, 76.20020
538.7673, 91.40210
539.2494, 128.3142
539.7315, 158.4778
540.2136, 150.3662
540.6957, 120.3918
541.1779, 119.8206
541.6600, 156.0911
542.1421, 198.9453
542.6242, 221.7620
543.1063, 229.6855
543.5884, 231.5029
544.0706, 221.1941
544.5527, 214.8118
545.0348, 227.3376
545.5169, 253.3191
545.9990, 271.7288
546.4811, 266.1182
546.9633, 258.8623
547.4454, 263.2395
547.9275, 287.8152
548.4096, 297.9756
548.8917, 280.7148
549.3738, 257.7007
549.8560, 251.3330
550.3381, 273.0515
550.8202, 281.5857
551.3023, 267.6238
551.7844, 239.2327
552.2665, 219.1047
552.7487, 208.1335
553.2308, 196.5522
553.7129, 177.6868
554.1950, 153.9998
554.6771, 136.8499
555.1592, 126.7148
555.6414, 114.0168
556.1235, 83.54053
556.6056, 46.29346
557.0877, 21.11060
557.5698, 16.06763
558.0519, 17.21729
558.5341, 19.11743
559.0162, 20.04980
559.4983, 16.37427
559.9804, -4.508208
560.4625, 3.015102
560.9446, 7.295146
561.4268, 8.506256
561.9089, -2.543572
562.3910, 2.239017
562.8731, 0.6766974
563.3552, -1.145797
563.8373, 5.865120
564.3195, -3.401343
564.8016, 3.469490
565.2837, 3.898605
565.7658, 7.275941
566.2479, 4.269183
566.7300, 3.234254
567.2122, 8.585509
567.6943, 10.40066
568.1764, 6.658994
568.6585, 10.22374
569.1406, 0.7342334
569.6227, 2.699998
570.1049, 9.608244
570.5870, 6.187552
571.0691, 9.869018
571.5512, 21.44824
572.0333, 36.47217
572.5154, 49.35376
572.9976, 60.01758
573.4797, 66.17285
573.9618, 72.82129
574.4439, 81.70825
574.9260, 92.15649
575.4081, 101.5662
575.8903, 107.5002
576.3724, 115.6018
576.8545, 127.0923
577.3366, 142.0005
577.8187, 162.6235
578.3008, 190.3254
578.7830, 220.3406
579.2651, 248.7397
579.7472, 275.6355
580.2293, 302.4084
580.7114, 328.2268
581.1935, 356.6277
581.6757, 392.7185
582.1578, 435.2991
582.6399, 480.7764
583.1220, 534.8164
583.6041, 585.3306
584.0862, 614.5828
584.5684, 626.9727
585.0505, 646.4795
585.5326, 684.9912
586.0147, 733.8284
586.4968, 790.5649
586.9789, 859.5569
587.4611, 919.2285
587.9432, 961.6033
588.4253, 996.7432
588.9074, 1033.083
589.3895, 1070.666
589.8716, 1109.823
590.3538, 1152.689
590.8359, 1195.743
591.3180, 1231.387
591.8001, 1259.159
592.2822, 1280.377
592.7643, 1299.652
593.2465, 1313.427
593.7286, 1304.726
594.2107, 1273.378
594.6928, 1235.255
595.1749, 1202.519
595.6570, 1170.116
596.1392, 1129.642
596.6213, 1076.423
597.1034, 1025.373
597.5854, 989.2563
598.0676, 958.6523
598.5497, 921.1562
599.0318, 860.5137
599.5139, 806.6484
599.9960, 770.4827
600.4781, 747.3655
600.9603, 718.6006
601.4424, 684.0300
601.9245, 643.2654
602.4066, 591.5742
602.8887, 528.3020
603.3708, 487.8098
603.8530, 473.4993
604.3351, 469.8499
604.8172, 465.7358
605.2993, 460.6958
605.7814, 452.5874
606.2635, 441.0752
606.7457, 426.4932
607.2278, 401.1375
607.7099, 373.3445
608.1920, 361.4312
608.6741, 393.8645
609.1563, 425.7932
609.6384, 425.1240
610.1205, 398.6445
610.6026, 381.4114
611.0847, 386.6350
611.5668, 399.8694
612.0490, 415.3792
612.5311, 433.1860
613.0132, 453.0674
613.4953, 478.1008
613.9774, 501.7327
614.4595, 518.9741
614.9417, 530.3511
615.4238, 531.7749
615.9059, 520.8401
616.3880, 504.3501
616.8701, 492.0237
617.3522, 483.5303
617.8344, 476.8040
618.3165, 472.0688
618.7986, 467.9517
619.2807, 466.9919
619.7628, 466.5151
620.2449, 454.4285
620.7271, 410.6548
621.2092, 364.5920
621.6913, 336.3020
622.1734, 329.8386
622.6555, 329.5806
623.1376, 343.0332
623.6198, 354.8276
624.1019, 352.2617
624.5840, 323.0688
625.0661, 304.2102
625.5482, 299.9561
626.0303, 304.5056
626.5125, 308.7415
626.9946, 312.6541
627.4767, 311.8406
627.9588, 303.0029
628.4409, 290.4702
628.9230, 282.2825
629.4052, 277.8296
629.8873, 276.3354
630.3694, 279.8281
630.8515, 284.6396
631.3336, 286.8271
631.8157, 286.0051
632.2979, 285.3164
632.7800, 286.2375
633.2621, 287.8706
633.7442, 289.4741
634.2263, 290.6953
634.7084, 292.5684
635.1906, 298.9387
635.6727, 303.7197
636.1548, 296.5137
636.6369, 271.7798
637.1190, 253.0640
637.6011, 245.3311
638.0833, 247.0496
638.5654, 259.0896
639.0475, 280.6504
639.5296, 296.1194
640.0117, 288.4702
640.4938, 272.5479
640.9760, 275.5657
641.4581, 296.8853
641.9402, 317.7261
642.4223, 325.2961
642.9044, 327.5964
643.3865, 332.0107
643.8687, 341.9529
644.3508, 347.5046
644.8329, 342.7864
645.3150, 334.1165
645.7971, 327.9475
646.2792, 321.7078
646.7614, 323.5298
647.2435, 337.6848
647.7256, 357.9360
648.2077, 373.4551
648.6898, 385.2549
649.1719, 380.0071
649.6541, 340.9873
650.1362, 287.7800
650.6183, 274.1680
651.1004, 294.8245
651.5825, 308.2261
652.0646, 278.1980
652.5468, 232.5310
653.0289, 197.6138
653.5110, 176.5845
653.9931, 159.8582
654.4752, 148.2102
654.9573, 136.3145
655.4395, 119.6558
655.9216, 88.76147
656.4037, 66.89429
656.8858, 56.62207
657.3679, 53.45825
657.8500, 53.07812
658.3322, 57.45825
658.8143, 53.01660
659.2964, 33.42310
659.7785, 6.950684
660.2606, 8.511230
660.7427, 13.68994
661.2249, 13.49438
661.7070, 7.763184
662.1891, 0.3098140
662.6712, 2.849365
663.1533, 2.572510
663.6354, 6.890625
664.1175, 24.59424
664.5996, 44.91553
665.0817, 60.69702
665.5638, 69.80688
666.0460, 79.29346
666.5281, 88.06787
667.0102, 98.69897
667.4923, 114.3777
667.9744, 137.8960
668.4565, 155.9946
668.9387, 166.9707
669.4208, 173.5632
669.9029, 175.6362
670.3850, 175.2075
670.8671, 187.5071
671.3492, 224.9392
671.8314, 268.4832
672.3135, 291.1995
672.7956, 299.4131
673.2777, 311.8738
673.7598, 339.3425
674.2419, 372.0566
674.7241, 405.4231
675.2062, 439.0903
675.6883, 474.7263
676.1704, 515.5576
676.6525, 554.7690
677.1346, 587.0420
677.6168, 608.3303
