##NAMES=Opal
##RRUFFID=X070002
##IDEAL CHEMISTRY=SiO_2_&#183;nH_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=White polished cab, Raman spectra matches Polymethyl methacrylate (plexiglas)
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070002
519.4455, 27.26953
519.9276, 35.06836
520.4097, 47.63428
520.8918, 62.65869
521.3740, 64.28271
521.8561, 48.89453
522.3382, 32.05713
522.8203, 25.72656
523.3024, 29.00537
523.7845, 24.01270
524.2667, 7.894531
524.7488, 9.497559
525.2309, 16.92285
525.7130, 15.83740
526.1951, 10.95557
526.6772, 0.9765630
527.1594, 9.228516
527.6415, 14.02686
528.1236, 13.97119
528.6057, 11.54785
529.0878, 5.679199
529.5699, 0.3950200
530.0521, 3.644043
530.5342, 2.812500
531.0163, 3.265625
531.4984, 9.323730
531.9805, 16.43018
532.4626, 19.77100
532.9448, 14.71924
533.4269, 10.63477
533.9090, 9.011719
534.3911, 9.162598
534.8732, 8.491699
535.3553, 6.763184
535.8375, 4.548828
536.3196, 0.9028320
536.8017, 4.594238
537.2838, 2.764160
537.7659, 7.951660
538.2480, 20.93555
538.7302, 30.31055
539.2123, 36.10596
539.6944, 36.86133
540.1765, 29.56787
540.6586, 22.05859
541.1407, 27.56689
541.6229, 42.85986
542.1050, 56.35400
542.5871, 57.63867
543.0692, 57.09668
543.5513, 66.33154
544.0334, 85.73291
544.5156, 100.9858
544.9977, 104.1504
545.4798, 101.1064
545.9619, 95.73633
546.4440, 79.68799
546.9261, 74.88428
547.4083, 96.63770
547.8904, 129.1270
548.3725, 142.5776
548.8546, 121.9097
549.3367, 107.2407
549.8188, 109.7349
550.3010, 127.8442
550.7831, 144.6499
551.2652, 161.1182
551.7473, 173.0835
552.2294, 176.4258
552.7115, 171.8296
553.1937, 164.0698
553.6758, 152.0635
554.1579, 142.9707
554.6400, 150.4492
555.1221, 168.5742
555.6042, 179.8003
556.0864, 170.6890
556.5685, 159.4175
