##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
432.2692, 15.67645
432.7513, 16.55573
433.2334, 17.23871
433.7155, 17.10571
434.1976, 15.53632
434.6797, 12.72357
435.1619, 11.12677
435.6440, 11.60376
436.1261, 12.33105
436.6082, 13.31244
437.0903, 14.26190
437.5724, 14.92401
438.0546, 15.20148
438.5367, 15.06073
439.0188, 14.46033
439.5009, 13.41571
439.9830, 11.91156
440.4651, 8.471680
440.9473, 5.839661
441.4294, 5.667419
441.9115, 7.445190
442.3936, 9.637573
442.8757, 11.47174
443.3578, 12.77875
443.8400, 12.99982
444.3221, 11.75787
444.8042, 10.52417
445.2863, 9.609497
445.7684, 8.972717
446.2505, 8.815063
446.7327, 9.225830
447.2148, 9.537170
447.6969, 9.027100
448.1790, 7.891968
448.6611, 7.101257
449.1432, 6.928040
449.6254, 6.928101
450.1075, 6.811646
450.5896, 6.535095
451.0717, 5.943420
451.5538, 4.472534
452.0359, 3.085571
452.5181, 2.950500
453.0002, 3.904358
453.4823, 4.771790
453.9644, 5.056152
454.4465, 4.869873
454.9286, 4.374054
455.4108, 3.444305
455.8929, 2.653442
456.3750, 2.094269
456.8571, 1.805573
457.3392, 1.886566
457.8214, 2.296692
458.3035, 2.671875
458.7856, 2.639191
459.2677, 2.189514
459.7498, 2.226959
460.2319, 3.701691
460.7141, 4.495087
461.1962, 3.461365
461.6783, 1.564606
462.1604, 0.1436770
462.6425, 0.3019410
463.1246, 0.1367800
463.6068, 6.6680998E-02
464.0889, 0.3729860
464.5710, 0.6528930
465.0531, 0.9791560
465.5352, 1.189026
466.0173, 1.199066
466.4995, 1.017944
466.9816, 0.6498110
467.4637, 1.5350000E-02
467.9458, 0.7024840
468.4279, 0.8539430
468.9100, 0.1324460
469.3922, 0.3130800
469.8743, 6.7932002E-02
470.3564, 0.7582400
470.8385, 1.518890
471.3206, 2.291199
471.8027, 2.615417
472.2849, 1.685181
472.7670, 4.0436000E-02
473.2491, 0.6861880
473.7312, 0.2747800
474.2133, 1.253723
474.6954, 0.7981260
475.1776, 0.4673160
475.6597, 1.139557
476.1418, 0.8754580
476.6239, 0.1293330
477.1060, 1.312653
477.5881, 3.019775
478.0703, 3.579132
478.5524, 2.296326
479.0345, 0.4543460
479.5166, 3.2226998E-02
479.9987, 1.243805
480.4808, 2.013733
480.9630, 1.935822
481.4451, 1.492889
481.9272, 0.7791140
482.4093, 5.5663999E-02
482.8914, 0.6595760
483.3735, 0.7927250
483.8557, 0.5786440
484.3378, 0.4586490
484.8199, 0.5204160
485.3020, 0.5602110
485.7841, 0.5791020
486.2662, 0.5733640
486.7484, 0.4537050
487.2305, 0.2586670
487.7126, 0.2278440
488.1947, 0.6401670
488.6768, 1.441528
489.1589, 1.766541
489.6411, 1.112305
490.1232, 0.7475590
490.6053, 1.291321
491.0874, 2.187286
491.5695, 2.817169
492.0516, 3.009644
492.5338, 3.025269
493.0159, 3.104980
493.4980, 3.240051
493.9801, 3.435333
494.4622, 3.715912
494.9443, 4.010162
495.4265, 4.339844
495.9086, 4.644928
496.3907, 4.752319
496.8728, 4.463593
497.3549, 4.103271
497.8370, 3.910583
498.3192, 3.885315
498.8013, 4.006165
499.2834, 4.246552
499.7655, 4.689819
500.2476, 5.599121
500.7297, 7.316315
501.2119, 8.252213
501.6940, 7.497543
