##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
438.7010, 279.3867
439.1831, 282.9344
439.6652, 286.6049
440.1473, 290.4177
440.6295, 294.6665
441.1116, 298.7742
441.5937, 302.2477
442.0758, 305.2104
442.5579, 308.1099
443.0400, 310.9183
443.5222, 313.7869
444.0043, 317.0532
444.4864, 321.5022
444.9685, 324.6296
445.4506, 324.9240
445.9327, 323.6562
446.4149, 322.7174
446.8970, 321.7753
447.3791, 321.4606
447.8612, 322.2659
448.3433, 324.2656
448.8254, 325.3848
449.3076, 325.5934
449.7897, 325.0411
450.2718, 323.8657
450.7539, 322.3071
451.2360, 319.2103
451.7181, 314.2291
452.2003, 308.0664
452.6824, 301.8920
453.1645, 295.4279
453.6466, 289.4854
454.1287, 284.8151
454.6108, 281.0127
455.0930, 274.8582
455.5751, 265.8130
456.0572, 257.6528
456.5393, 255.2427
457.0214, 257.1843
457.5035, 256.5760
457.9857, 251.7726
458.4678, 244.7504
458.9499, 237.1312
459.4320, 229.5104
459.9141, 223.7881
460.3962, 222.6703
460.8784, 223.2704
461.3605, 222.4634
461.8426, 220.1210
462.3247, 217.1411
462.8068, 213.7765
463.2889, 210.0267
463.7711, 206.0038
464.2532, 202.2709
464.7353, 197.4301
465.2174, 190.4453
465.6995, 182.0990
466.1816, 173.9979
466.6638, 167.1715
467.1459, 160.2648
467.6280, 152.6477
468.1101, 144.1329
468.5922, 135.4270
469.0743, 126.3503
469.5565, 117.2971
470.0386, 108.5957
470.5207, 100.0619
471.0028, 92.56995
471.4849, 86.61047
471.9670, 81.65344
472.4492, 75.92871
472.9313, 69.18262
473.4134, 62.58008
473.8955, 56.34167
474.3776, 50.51807
474.8597, 46.71667
475.3419, 45.08765
475.8240, 44.27014
476.3061, 43.21130
476.7882, 41.90161
477.2703, 40.25830
477.7524, 38.16357
478.2346, 35.87219
478.7167, 33.66687
479.1988, 31.52905
479.6809, 29.39038
480.1630, 27.19373
480.6451, 24.99121
481.1273, 22.79785
481.6094, 20.60437
482.0915, 18.56189
482.5736, 16.77832
483.0557, 15.15552
483.5378, 13.55554
484.0200, 11.56433
484.5021, 10.02991
484.9842, 9.951050
485.4663, 10.53186
485.9484, 9.670166
486.4305, 4.802124
486.9127, 0.6075440
487.3948, 1.328735
487.8769, 0.6593020
488.3590, 6.0791001E-02
488.8411, 1.656860
489.3232, 2.436279
489.8054, 0.3648680
490.2875, 6.037720
490.7696, 9.529053
491.2517, 8.348755
491.7338, 4.701782
492.2159, 3.543091
492.6981, 4.943115
493.1802, 7.339966
493.6623, 11.18176
494.1444, 15.51697
494.6265, 15.65784
495.1086, 11.53845
495.5908, 6.912964
496.0729, 4.965942
496.5550, 4.884521
497.0371, 5.151733
497.5192, 5.703613
498.0013, 6.002930
498.4835, 5.265625
498.9656, 3.962646
499.4477, 3.054199
499.9298, 3.742920
500.4119, 4.295654
500.8940, 3.347168
501.3762, 0.9304200
501.8583, 0.7520750
502.3404, 1.123779
502.8225, 0.5820310
503.3046, 0.7246090
503.7867, 4.236938
504.2689, 6.044800
504.7510, 5.054077
505.2331, 2.733643
505.7152, 1.213257
506.1973, 0.6881100
506.6794, 0.6627200
507.1616, 1.318481
507.6437, 2.459717
508.1258, 2.321045
508.6079, 0.4863280
509.0900, 0.9611820
509.5721, 0.1531980
510.0543, 2.622559
510.5364, 4.270874
511.0185, 4.523315
511.5006, 3.987061
511.9827, 2.915161
512.4648, 1.582764
512.9470, 0.9475100
513.4291, 1.872925
513.9112, 3.011475
514.3933, 2.888916
514.8754, 1.709961
515.3575, 0.2181400
515.8397, 1.635132
516.3218, 3.320068
516.8039, 4.496338
517.2860, 5.128174
517.7681, 5.150879
518.2502, 4.210449
518.7324, 2.803711
519.2145, 1.380737
519.6966, 0.7636720
520.1787, 2.003784
520.6608, 2.052124
521.1429, 1.146851
521.6251, 0.2608640
522.1072, 2.810181
