##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=YW_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
687.2591, 1915.523
687.7412, 1920.914
688.2233, 1905.062
688.7054, 1896.242
689.1876, 1895.281
689.6697, 1915.539
690.1518, 2003.523
690.6339, 2140.781
691.1160, 2229.656
691.5981, 2146.789
692.0803, 2043.328
692.5624, 2096.602
693.0445, 2285.734
693.5266, 2440.352
694.0087, 2493.898
694.4908, 2497.070
694.9730, 2462.906
695.4551, 2390.297
695.9372, 2336.758
696.4193, 2317.047
696.9014, 2310.156
697.3835, 2299.742
697.8657, 2296.289
698.3478, 2266.578
698.8299, 2207.609
699.3120, 2125.992
699.7941, 2007.141
700.2762, 1871.922
700.7584, 1778.828
701.2405, 1746.766
701.7226, 1753.219
702.2047, 1818.117
702.6868, 1905.102
703.1689, 1943.656
703.6511, 1854.258
704.1332, 1775.547
704.6153, 1760.445
705.0974, 1787.594
705.5795, 1783.594
706.0616, 1730.555
706.5438, 1686.727
707.0259, 1684.391
707.5080, 1707.859
707.9901, 1655.930
708.4722, 1528.477
708.9543, 1419.312
709.4365, 1406.711
709.9186, 1451.633
710.4007, 1507.586
710.8828, 1573.602
711.3649, 1593.828
711.8470, 1483.289
712.3292, 1340.242
712.8113, 1239.719
713.2934, 1207.789
713.7755, 1194.031
714.2576, 1217.922
714.7397, 1238.328
715.2219, 1215.875
715.7040, 1133.742
716.1861, 1084.547
716.6682, 1103.328
717.1503, 1125.336
717.6324, 1015.781
718.1146, 812.5547
718.5967, 693.3047
719.0788, 756.7344
719.5609, 854.8203
720.0430, 835.8203
720.5251, 743.2891
721.0073, 667.5703
721.4894, 642.4062
721.9715, 628.8984
722.4536, 644.1719
722.9357, 673.1328
723.4178, 626.0938
723.9000, 440.9531
724.3821, 299.3750
724.8642, 293.1953
725.3463, 395.7266
725.8284, 379.2422
726.3105, 237.6797
726.7927, 126.5547
727.2748, 210.5391
727.7569, 376.0078
728.2390, 409.2031
728.7211, 298.5859
