##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
588.7254, 72.75684
589.2075, 61.76660
589.6896, 51.84863
590.1718, 39.64160
590.6539, 20.57227
591.1360, 0.1884770
591.6181, 6.136719
592.1002, 9.485352
592.5823, 24.21973
593.0645, 39.48633
593.5466, 49.62891
594.0287, 48.63477
594.5108, 37.95801
594.9929, 22.39844
595.4750, 4.207031
595.9572, 12.60059
596.4393, 14.58691
596.9214, 5.331055
597.4035, 19.15820
597.8856, 17.99316
598.3677, 13.09766
598.8499, 8.580078
599.3320, 5.636719
599.8141, 6.526367
600.2962, 13.25977
600.7783, 23.24805
601.2604, 34.63965
601.7426, 46.93750
602.2247, 58.12402
602.7068, 68.25000
603.1889, 73.81152
603.6710, 69.13672
604.1531, 52.62891
604.6353, 42.90820
605.1174, 42.60156
605.5995, 45.50391
606.0816, 50.51855
606.5637, 56.52734
607.0458, 62.00586
607.5280, 66.09961
608.0101, 66.67188
608.4922, 60.09668
608.9743, 46.06445
609.4564, 33.65332
609.9385, 19.29297
610.4207, 12.64844
610.9028, 23.68945
611.3849, 40.34277
611.8670, 48.39258
612.3491, 44.90039
612.8312, 39.92383
613.3134, 40.40625
613.7955, 43.69238
614.2776, 44.23730
614.7597, 41.86719
615.2418, 41.78906
615.7239, 48.48145
616.2061, 58.15723
616.6882, 59.91602
617.1703, 47.69531
617.6524, 39.10938
618.1345, 36.68457
618.6166, 36.62402
619.0988, 36.74609
619.5809, 37.02637
620.0630, 38.82031
620.5451, 43.20703
621.0272, 47.44141
621.5093, 45.10645
621.9915, 34.91699
622.4736, 26.94238
622.9557, 21.92773
623.4378, 20.11719
623.9199, 24.16406
624.4020, 31.19531
624.8842, 33.48047
625.3663, 25.26758
625.8484, 18.14551
626.3305, 22.90137
626.8126, 33.97461
627.2947, 39.08984
627.7769, 35.96094
628.2590, 33.04590
628.7411, 38.62695
629.2232, 51.58398
629.7053, 57.97754
630.1874, 52.26758
630.6696, 46.65723
631.1517, 41.66602
631.6338, 37.57031
632.1159, 33.97852
632.5980, 31.29883
633.0801, 31.12988
633.5623, 35.09961
634.0444, 41.92871
634.5265, 50.38281
635.0086, 61.06152
635.4907, 64.52832
635.9728, 55.57324
636.4550, 41.59766
636.9371, 30.68457
637.4192, 22.61523
637.9013, 15.51562
638.3834, 6.345703
638.8655, 0.7851560
639.3477, 4.878906
639.8298, 14.14648
640.3119, 20.88086
640.7940, 22.74805
641.2761, 21.89551
641.7582, 21.08887
642.2404, 20.37402
642.7225, 14.53320
643.2046, 16.89661
643.6867, 15.62109
644.1688, 16.08594
644.6509, 9.468750
645.1331, 2.896484
645.6152, 19.97754
646.0973, 32.48047
646.5794, 32.31641
647.0615, 25.29688
647.5436, 19.75293
648.0258, 15.89648
648.5079, 13.42773
648.9900, 12.56152
649.4721, 11.91895
649.9542, 10.04688
650.4363, 5.891602
650.9185, 3.446289
