##NAMES=Burangaite
##RRUFFID=R070408
##IDEAL CHEMISTRY=NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_&#183;2H_2_O
##LOCALITY=Buranga pegmatite, Gatumba District, Gisenyi Province, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue to blue-green prismatic, co-type specimen. This is the piece used by Selway et al (1997) to determine structure.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070408
409.0407, 78.93899
409.5228, 70.76547
410.0049, 58.85771
410.4871, 47.69874
410.9692, 43.99155
411.4513, 29.23268
411.9334, 27.30557
412.4155, 21.57397
412.8976, 18.95600
413.3798, 12.57522
413.8619, 8.589616
414.3440, 10.25135
414.8261, 10.24910
415.3082, 7.094025
415.7903, 10.26422
416.2725, 4.757497
416.7546, 8.632995
417.2367, 17.09170
417.7188, 18.88155
418.2009, 26.84584
418.6830, 33.75905
419.1652, 32.55728
419.6473, 48.04847
420.1294, 57.66846
420.6115, 61.23594
421.0937, 79.01382
421.5758, 85.42908
422.0579, 97.17658
422.5400, 113.1714
423.0221, 126.6617
423.5042, 146.5263
423.9864, 162.1021
424.4685, 206.0793
424.9506, 240.7090
425.4327, 261.7649
425.9148, 295.0649
426.3969, 347.4907
426.8791, 404.2832
427.3612, 450.6294
427.8433, 480.5852
428.3254, 518.6323
428.8075, 569.4863
429.2896, 630.1445
429.7718, 689.8936
430.2539, 748.8682
430.7360, 806.8110
431.2181, 862.3904
431.7002, 915.8164
432.1823, 971.3098
432.6645, 1030.308
433.1466, 1087.493
433.6287, 1132.092
434.1108, 1166.548
434.5929, 1203.627
435.0750, 1256.042
435.5572, 1310.714
436.0393, 1342.026
436.5214, 1350.789
437.0035, 1354.233
437.4856, 1372.496
437.9677, 1391.786
438.4499, 1392.250
438.9320, 1365.214
439.4141, 1324.382
439.8962, 1272.153
440.3783, 1213.207
440.8604, 1158.131
441.3426, 1119.559
441.8247, 1080.892
442.3068, 1032.062
442.7889, 970.0950
443.2710, 907.0349
443.7531, 844.3057
444.2353, 782.9553
444.7174, 723.0957
445.1995, 660.2473
445.6816, 604.7148
446.1637, 559.4399
446.6458, 524.0591
447.1280, 491.0994
447.6101, 458.1941
448.0922, 430.2363
448.5743, 410.1006
449.0564, 398.2312
449.5385, 393.0471
450.0207, 395.8848
450.5028, 404.0791
450.9849, 412.8037
451.4670, 421.7539
451.9491, 432.1060
452.4312, 442.8181
452.9134, 454.7715
453.3955, 475.9094
453.8776, 506.6890
454.3597, 542.5967
