##NAMES=Jahnsite-(CaMnMg)
##RRUFFID=R060213
##IDEAL CHEMISTRY=CaMn^2+^Mg_2_Fe^3+^_2_(PO_4_)_4_(OH)_2_&#183;8H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brown tabular crystals associated with black prismatic rockbridgeite, R060858
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060213
513.1971, 10.28275
513.6792, 8.562119
514.1613, 7.104118
514.6434, 6.039848
515.1255, 5.008324
515.6077, 3.498947
516.0898, 1.803703
516.5719, 1.119011
517.0540, 0.4859457
517.5361, 1.121924
518.0182, 1.348480
518.5004, 3.303474
518.9825, 6.561714
519.4646, 7.537048
519.9467, 6.268776
520.4288, 2.130890
520.9109, 6.070099
521.3931, 8.897011
521.8752, 1.169533
522.3573, 5.348526
522.8394, 5.657806
523.3215, 2.380341
523.8036, 0.4642330
524.2858, 1.234619
524.7679, 0.7633970
525.2500, 0.3449630
525.7321, 8.0192998E-02
526.2142, 0.6736220
526.6964, 2.837334
527.1785, 4.528839
527.6606, 4.766525
528.1427, 3.889717
528.6248, 2.623177
529.1069, 1.038300
529.5891, 0.3978730
530.0712, 0.6104810
530.5533, 0.2725520
531.0354, 0.1296540
531.5175, 3.036766
531.9996, 6.578407
532.4818, 8.360497
532.9639, 8.535095
533.4460, 8.953735
533.9281, 10.81110
534.4102, 12.36028
534.8923, 11.48104
535.3745, 9.004822
535.8566, 7.918823
536.3387, 9.737808
536.8208, 13.08129
537.3029, 15.10117
537.7850, 15.02238
538.2672, 15.19906
538.7493, 15.72441
539.2314, 16.36617
539.7135, 16.89142
540.1956, 17.55401
540.6777, 19.15297
541.1599, 22.23637
541.6420, 26.02496
542.1241, 28.58911
542.6062, 29.48405
543.0883, 30.97212
543.5704, 34.51631
544.0526, 37.56407
544.5347, 38.16564
545.0168, 36.80623
545.4989, 36.18190
545.9810, 37.93736
546.4631, 40.36765
546.9453, 40.86638
547.4274, 39.63475
547.9095, 39.50528
548.3916, 42.02698
548.8737, 45.76028
549.3558, 48.18855
549.8380, 49.22025
550.3201, 49.84233
550.8022, 49.96321
551.2843, 49.84573
551.7664, 49.82341
552.2485, 49.88068
552.7307, 49.80986
553.2128, 49.45811
553.6949, 49.05734
554.1770, 49.38289
554.6591, 51.82784
555.1412, 52.18172
555.6234, 47.72469
556.1055, 43.73189
556.5876, 44.50439
557.0697, 48.69608
557.5518, 51.38562
558.0339, 49.00166
558.5161, 44.09679
558.9982, 42.95771
559.4803, 46.33930
559.9624, 48.96979
560.4445, 49.28999
560.9266, 48.43230
561.4088, 47.43939
561.8909, 46.31775
562.3730, 45.04755
562.8551, 43.23595
563.3372, 41.53904
563.8193, 40.92045
564.3015, 41.16497
564.7836, 40.93095
565.2657, 39.44671
565.7478, 37.74835
566.2299, 37.87491
566.7120, 41.13197
567.1942, 43.20883
567.6763, 43.15224
568.1584, 42.41951
568.6405, 42.20470
569.1226, 42.10931
569.6047, 40.62431
570.0869, 36.86536
570.5690, 32.47614
571.0511, 31.10747
571.5332, 33.58562
572.0153, 35.91491
572.4974, 38.79671
572.9796, 40.28637
573.4617, 38.14389
573.9438, 33.81424
574.4259, 31.14043
574.9080, 32.40517
575.3901, 34.88003
575.8723, 35.60546
576.3544, 34.70953
576.8365, 33.14030
577.3186, 31.02824
577.8007, 29.25424
578.2828, 29.25673
578.7650, 31.04392
579.2471, 30.83456
579.7292, 27.35719
580.2113, 22.94017
580.6934, 17.41014
581.1755, 12.44037
581.6577, 11.01333
582.1398, 13.89563
582.6219, 17.68261
583.1040, 17.45557
583.5861, 12.43616
584.0682, 9.578728
584.5504, 10.73599
585.0325, 11.75618
585.5146, 11.58340
585.9967, 10.60549
586.4788, 9.168739
586.9609, 7.332298
587.4431, 5.566063
587.9252, 3.959419
588.4073, 2.734665
588.8894, 3.203148
589.3715, 5.929474
589.8536, 8.208450
590.3358, 7.843834
590.8179, 5.708649
591.3000, 5.020439
591.7821, 7.047241
592.2642, 8.216942
592.7463, 6.343742
593.2285, 3.656296
593.7106, 3.028923
594.1927, 4.461914
594.6748, 5.515907
595.1569, 4.124428
595.6390, 0.9672160
596.1212, 0.2421190
596.6033, 2.349586
597.0854, 3.671570
597.5675, 2.093071
598.0496, 1.2657000E-02
598.5317, 0.8043370
599.0139, 0.4126430
599.4960, 6.4902999E-02
599.9781, 0.9264370
600.4602, 2.034904
600.9423, 0.8752520
601.4244, 2.597221
601.9066, 3.950096
602.3887, 0.6775970
602.8708, 3.809883
603.3529, 4.387245
603.8350, 1.057442
604.3171, 1.158562
604.7993, 0.9847490
605.2814, 6.0577001E-02
605.7635, 1.006783
606.2456, 1.965492
606.7277, 2.490273
607.2098, 2.457176
607.6920, 1.837234
608.1741, 0.4292370
608.6562, 1.993149
609.1383, 4.027267
609.6204, 6.458954
610.1025, 7.523636
610.5847, 5.340698
611.0668, 2.019287
611.5489, 0.6380160
612.0310, 2.229584
612.5131, 4.677879
612.9952, 6.522797
613.4774, 7.671455
613.9595, 7.610168
614.4416, 6.141449
614.9237, 4.587593
615.4058, 3.715538
615.8879, 3.374763
616.3701, 3.050194
616.8522, 2.639503
617.3343, 2.439224
617.8164, 2.476906
618.2985, 2.791389
618.7806, 3.514351
619.2628, 4.558624
619.7449, 5.726685
620.2270, 6.835663
620.7091, 7.648521
621.1912, 7.654732
621.6733, 6.332466
622.1555, 5.866508
622.6376, 8.372711
623.1197, 10.03211
623.6018, 7.617012
624.0839, 2.624641
624.5660, 0.7500310
625.0482, 0.6521070
625.5303, 1.262901
626.0124, 4.325272
626.4945, 7.939331
626.9766, 9.839241
627.4587, 9.403549
627.9409, 8.063492
628.4230, 7.044586
628.9051, 6.350548
629.3872, 5.858414
629.8693, 5.647682
630.3514, 5.503357
630.8336, 5.380188
631.3157, 5.308769
631.7978, 5.167908
632.2799, 5.031693
632.7620, 5.345337
633.2441, 6.643593
633.7263, 8.600662
634.2084, 9.911644
634.6905, 10.49233
635.1726, 10.79205
635.6547, 11.29597
636.1368, 11.20348
636.6190, 9.185410
637.1011, 5.455788
637.5832, 3.000175
638.0653, 3.555328
638.5474, 5.042435
639.0295, 6.027779
639.5117, 6.554070
639.9938, 6.798920
640.4759, 6.821037
640.9580, 6.739212
641.4401, 6.647194
641.9222, 6.483322
642.4044, 6.894051
642.8865, 8.864510
643.3686, 10.24989
643.8507, 10.12953
644.3328, 9.459091
644.8149, 9.344589
645.2971, 9.950256
645.7792, 10.46440
646.2613, 10.22072
646.7434, 9.410027
647.2255, 8.260788
647.7076, 6.747604
648.1898, 5.964767
648.6719, 6.704933
649.1540, 7.989716
649.6361, 8.032440
650.1182, 6.508865
650.6003, 5.529869
651.0825, 6.089645
651.5646, 6.402184
652.0467, 4.810566
652.5288, 2.391140
653.0109, 1.314102
653.4930, 2.298222
653.9752, 3.900993
654.4573, 4.180359
654.9394, 3.003262
655.4215, 3.308968
655.9036, 6.094028
656.3857, 8.396965
656.8679, 8.254898
657.3500, 6.833332
