##NAMES=Natroboltwoodite
##RRUFFID=R060880
##IDEAL CHEMISTRY=Na(UO_2_)(SiO_3_OH)&#183;H_2_O
##LOCALITY=Alluaiv Mountain, Lovozero, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow massive, X-ray diffraction indicates that this is amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060880
700.0625, 31.47266
700.5446, 89.10938
701.0267, 52.40820
701.5089, 4.041016
701.9910, 28.61523
702.4731, 115.4453
702.9552, 167.6484
703.4373, 109.5781
703.9194, 42.23828
704.4016, 8.324219
704.8837, 7.041016
705.3658, 20.47656
705.8479, 67.88672
706.3300, 103.4922
706.8121, 107.5605
707.2943, 80.87500
707.7764, 65.71094
708.2585, 62.73828
708.7406, 66.47070
709.2227, 76.67188
709.7048, 89.75977
710.1870, 90.36133
710.6691, 76.06055
711.1512, 71.30859
711.6333, 126.9316
712.1154, 186.8203
712.5975, 178.5801
713.0797, 49.13086
713.5618, 44.09961
714.0439, 21.21094
714.5260, 45.22461
715.0081, 75.68945
715.4902, 54.16992
715.9724, 30.63867
716.4545, 12.10352
716.9366, 9.060547
717.4187, 55.35938
717.9008, 125.4707
718.3829, 169.2363
718.8651, 164.9043
719.3472, 137.8887
719.8293, 113.7754
720.3114, 96.68750
720.7935, 97.39258
721.2756, 150.8750
721.7578, 196.7500
722.2399, 177.8535
722.7220, 110.4902
723.2041, 101.4844
723.6862, 237.9043
724.1683, 351.3301
724.6505, 377.6816
725.1326, 321.1797
725.6147, 303.9590
726.0968, 335.5918
726.5789, 363.2598
727.0610, 335.3809
727.5432, 274.9570
728.0253, 261.3535
728.5074, 297.5078
728.9895, 348.9219
729.4716, 405.6523
729.9537, 454.7422
730.4359, 478.6621
730.9180, 467.8535
731.4001, 461.4727
731.8822, 475.8828
732.3643, 496.2715
732.8464, 509.0273
733.3285, 508.3301
733.8106, 511.3633
734.2927, 514.4980
734.7748, 526.8809
735.2570, 572.2090
735.7391, 644.7559
736.2212, 679.1621
736.7033, 653.4375
737.1854, 610.6895
737.6675, 584.7246
738.1497, 578.0879
738.6318, 602.3867
739.1139, 700.5508
739.5960, 791.2500
740.0781, 855.6250
740.5602, 889.8613
741.0424, 876.0918
741.5245, 741.8984
742.0066, 679.0742
742.4887, 752.4648
742.9708, 924.0742
743.4529, 1052.330
743.9351, 1134.504
744.4172, 1204.447
744.8993, 1274.617
745.3814, 1343.584
745.8635, 1404.945
746.3456, 1460.586
746.8278, 1525.613
747.3099, 1637.104
747.7920, 1736.451
748.2741, 1768.303
748.7562, 1726.041
749.2383, 1725.803
749.7205, 1828.521
750.2026, 1929.430
750.6847, 1976.363
751.1668, 1964.746
751.6489, 1965.928
752.1310, 1979.250
752.6132, 2014.676
753.0953, 2084.797
753.5774, 2184.264
754.0595, 2297.135
754.5416, 2423.859
755.0237, 2549.098
755.5059, 2653.621
755.9880, 2754.184
756.4701, 2869.459
756.9522, 3005.709
757.4343, 3145.371
757.9164, 3312.857
758.3986, 3456.049
758.8807, 3523.225
759.3628, 3483.607
759.8449, 3486.697
760.3270, 3547.711
760.8091, 3646.682
761.2913, 3776.227
