##NAMES=Riebeckite
##RRUFFID=R120033
##IDEAL CHEMISTRY=[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Zagi Mountain, Hameed Abad Kafoor Dheri, Peshawar, Khyber Pakhtunkhwa, Pakistan
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black prismatic crystals associated with titanite, R120030
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120033
490.7962, 2.926895
491.2783, 2.619339
491.7604, 2.295517
492.2425, 2.370026
492.7246, 2.688187
493.2068, 2.905121
493.6889, 2.898636
494.1710, 2.918243
494.6531, 3.395081
495.1352, 4.624405
495.6173, 5.364288
496.0995, 5.311951
496.5816, 5.139893
497.0637, 5.124893
497.5458, 5.249283
498.0279, 5.353271
498.5100, 5.322525
498.9922, 5.345871
499.4743, 6.026215
499.9564, 7.857681
500.4385, 9.081726
500.9206, 8.688232
501.4027, 8.227768
501.8849, 8.873260
502.3670, 10.47235
502.8491, 11.81070
503.3312, 11.81902
503.8133, 11.01495
504.2954, 10.85081
504.7776, 11.45096
505.2597, 12.03825
505.7418, 12.23361
506.2239, 12.22862
506.7060, 12.32837
507.1881, 12.62646
507.6703, 12.98874
508.1524, 13.37318
508.6345, 13.62407
509.1166, 13.52722
509.5987, 13.06866
510.0808, 12.53873
510.5630, 12.16896
511.0451, 11.97646
511.5272, 11.78828
512.0093, 11.24509
512.4914, 11.06451
512.9735, 11.71600
513.4556, 12.75435
513.9377, 13.63422
514.4199, 14.18825
514.9020, 14.52901
515.3841, 14.79848
515.8662, 15.02028
516.3483, 14.96484
516.8304, 14.03844
517.3126, 13.50552
517.7947, 13.78586
518.2768, 14.59380
518.7589, 15.57991
519.2410, 16.62053
519.7231, 17.56952
520.2053, 18.09911
520.6874, 18.15747
521.1695, 18.63133
521.6516, 19.92249
522.1337, 21.27998
522.6158, 21.83679
523.0980, 22.01468
523.5801, 23.07672
524.0622, 26.08707
524.5443, 29.55383
525.0264, 31.98145
525.5085, 33.47958
525.9907, 34.50253
526.4728, 35.10017
526.9549, 35.54329
527.4370, 36.10245
527.9191, 36.66602
528.4012, 38.05255
528.8834, 41.20631
529.3655, 44.48186
529.8476, 46.50549
530.3297, 47.64812
530.8118, 49.20857
531.2939, 51.91928
531.7761, 55.25471
532.2582, 57.88882
532.7403, 59.37172
533.2224, 60.90378
533.7045, 62.39297
534.1866, 64.01462
534.6688, 66.16109
535.1509, 68.56755
535.6330, 70.44826
536.1151, 71.17128
536.5972, 71.20770
537.0793, 72.05878
537.5615, 74.16125
538.0436, 75.19373
538.5257, 73.70517
539.0078, 71.43730
539.4899, 69.97298
539.9720, 69.27798
540.4542, 68.47748
540.9363, 67.29852
541.4184, 65.76920
541.9005, 63.71977
542.3826, 61.11810
542.8647, 58.48387
543.3469, 56.08755
543.8290, 53.90659
544.3111, 51.81850
544.7932, 49.71126
545.2753, 47.82275
545.7574, 46.24825
546.2396, 44.85516
546.7217, 43.81010
547.2038, 42.93317
547.6859, 41.52032
548.1680, 38.91154
548.6501, 35.51732
549.1323, 33.16219
549.6144, 32.49640
550.0965, 31.85127
550.5786, 31.05673
551.0607, 30.07011
551.5428, 28.81781
552.0250, 27.39577
552.5071, 26.15352
552.9892, 25.41483
553.4713, 25.01427
553.9534, 24.38176
554.4355, 23.41060
554.9177, 22.78947
555.3998, 23.16841
555.8819, 23.75931
556.3640, 23.36015
556.8461, 21.79517
557.3282, 20.57089
557.8104, 20.40033
558.2925, 20.79950
558.7746, 21.32240
559.2567, 21.90868
559.7388, 22.47765
560.2209, 23.03621
560.7031, 23.46339
561.1852, 23.37048
561.6673, 21.94870
562.1494, 21.14809
562.6315, 21.41577
563.1136, 21.98238
563.5958, 22.25111
564.0779, 22.27269
564.5600, 22.50958
565.0421, 23.35033
565.5242, 24.53673
566.0063, 25.13811
566.4885, 24.89293
566.9706, 24.81894
567.4527, 25.33470
567.9348, 25.96825
568.4169, 26.39334
568.8990, 26.61565
569.3812, 26.84952
569.8633, 27.05835
570.3454, 27.41911
570.8275, 28.40256
571.3096, 29.94315
571.7917, 31.08861
572.2739, 31.39485
572.7560, 31.17413
573.2381, 30.83002
573.7202, 30.10133
574.2023, 30.25816
574.6844, 32.54716
575.1666, 34.78058
575.6487, 35.34682
576.1308, 34.58870
576.6129, 33.67099
577.0950, 33.19781
577.5771, 32.89317
578.0593, 32.07927
578.5414, 30.43190
579.0235, 29.16084
579.5056, 28.88567
579.9877, 28.47040
580.4698, 27.40378
580.9520, 25.79228
581.4341, 23.88271
581.9162, 21.63693
582.3983, 19.45148
582.8804, 18.00792
583.3625, 17.21968
583.8447, 16.17926
584.3268, 14.57863
584.8089, 12.90561
585.2910, 11.79344
585.7732, 11.16217
586.2553, 10.16655
586.7374, 8.189102
587.2195, 6.401932
587.7017, 5.631958
588.1838, 5.415817
588.6659, 4.856400
589.1480, 3.705246
589.6301, 2.537231
590.1122, 2.094971
590.5944, 2.473785
591.0765, 2.677505
591.5586, 2.857452
592.0407, 2.654572
592.5228, 1.558533
593.0049, 0.2361910
593.4871, 0.5410610
593.9692, 0.5798650
594.4513, 0.2231900
594.9334, 0.5325010
595.4155, 1.466949
595.8976, 1.429245
596.3798, 0.1148830
596.8619, 1.074661
597.3440, 1.216232
597.8261, 0.7037200
598.3082, 0.5895690
598.7903, 1.138748
599.2725, 1.415024
599.7546, 0.7298280
600.2367, 0.1382290
600.7188, 0.2303160
601.2009, 0.4126740
601.6830, 1.019241
602.1652, 1.069550
602.6473, 0.6916960
603.1294, 0.3341670
603.6115, 0.1378940
604.0936, 0.3266910
604.5757, 0.2137150
605.0579, 0.6491550
605.5400, 0.1739200
606.0221, 0.8945620
606.5042, 1.426865
606.9863, 0.5377200
607.4684, 0.8332520
607.9506, 1.083572
608.4327, 0.2412260
608.9148, 0.5847170
609.3969, 1.160355
609.8790, 1.529633
610.3611, 1.649567
610.8433, 1.547806
611.3254, 1.571121
611.8075, 1.896500
612.2896, 2.208450
612.7717, 2.475784
613.2538, 2.578766
613.7360, 2.205139
614.2181, 1.300308
614.7002, 0.3345180
615.1823, 0.1523280
615.6644, 0.1473690
616.1465, 6.3919000E-02
616.6287, 0.5684810
617.1108, 1.170792
617.5929, 2.092575
618.0750, 2.925034
618.5571, 3.134750
619.0392, 2.647949
619.5214, 2.124908
620.0035, 2.116302
620.4856, 2.415787
620.9677, 2.564331
621.4498, 2.539932
621.9319, 2.436600
622.4141, 2.168198
622.8962, 1.990555
623.3783, 2.589630
623.8604, 4.357468
624.3425, 5.564957
624.8246, 5.626663
625.3068, 5.412292
625.7889, 5.548157
626.2710, 5.892838
626.7531, 5.912094
627.2352, 5.333893
627.7173, 4.582947
628.1995, 4.518219
628.6816, 5.315094
629.1637, 5.813477
629.6458, 5.797180
630.1279, 5.664719
630.6100, 5.520447
631.0922, 5.429916
631.5743, 5.541382
632.0564, 5.960663
632.5385, 6.375061
633.0206, 6.405258
633.5027, 6.310196
633.9849, 6.765518
634.4670, 7.848526
634.9491, 8.683670
635.4312, 8.519882
635.9133, 7.665131
636.3954, 7.582245
636.8776, 9.002335
637.3597, 10.26326
637.8418, 11.39005
638.3239, 12.23984
638.8060, 12.50806
639.2881, 12.43478
639.7703, 12.70863
640.2524, 13.78574
640.7345, 15.32658
641.2166, 16.70818
641.6987, 17.92207
642.1808, 19.10567
642.6630, 20.39061
643.1451, 21.55215
643.6272, 22.16751
644.1093, 22.39073
644.5914, 22.88553
645.0735, 23.99670
645.5557, 25.14426
646.0378, 25.82745
646.5199, 26.47459
647.0020, 27.73241
647.4841, 29.73344
647.9662, 32.17520
648.4484, 34.76112
648.9305, 37.34778
649.4126, 39.52599
649.8947, 40.99950
650.3768, 42.63957
650.8589, 44.62663
651.3411, 46.75520
651.8232, 49.08607
652.3053, 51.53291
652.7874, 53.68967
653.2695, 55.06334
653.7516, 56.29910
654.2338, 58.20665
654.7159, 60.62498
655.1980, 63.11508
655.6801, 65.57739
