##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
394.1323, 2485.215
394.6144, 2477.822
395.0966, 2468.996
395.5787, 2452.788
396.0608, 2438.437
396.5429, 2434.574
397.0250, 2454.554
397.5071, 2462.403
397.9893, 2435.658
398.4714, 2395.781
398.9535, 2379.480
399.4356, 2409.363
399.9177, 2438.505
400.3998, 2453.314
400.8820, 2450.508
401.3641, 2459.576
401.8462, 2487.707
402.3283, 2520.938
402.8104, 2545.974
403.2925, 2559.099
403.7747, 2574.041
404.2568, 2593.912
404.7389, 2617.189
405.2210, 2636.569
405.7031, 2651.580
406.1852, 2664.284
406.6674, 2674.117
407.1495, 2680.958
407.6316, 2694.980
408.1137, 2719.404
408.5958, 2746.658
409.0779, 2767.439
409.5601, 2781.203
410.0422, 2780.833
410.5243, 2756.339
411.0064, 2715.509
411.4885, 2679.223
411.9706, 2648.580
412.4528, 2613.323
412.9349, 2564.835
413.4170, 2503.459
413.8991, 2430.779
414.3812, 2341.053
414.8633, 2244.725
415.3455, 2152.556
415.8276, 2062.852
416.3097, 1971.466
416.7918, 1867.849
417.2739, 1764.373
417.7560, 1674.226
418.2382, 1610.293
418.7203, 1541.096
419.2024, 1437.598
419.6845, 1314.974
420.1666, 1207.453
420.6487, 1137.939
421.1309, 1077.525
421.6130, 1010.306
422.0951, 932.5623
422.5772, 854.7986
423.0593, 768.7000
423.5414, 689.2705
424.0236, 631.0559
424.5057, 622.5615
424.9878, 602.8140
425.4699, 558.4814
425.9520, 492.3076
426.4341, 434.8850
426.9163, 387.6816
427.3984, 347.3108
427.8805, 312.4785
428.3626, 284.8269
428.8447, 257.6401
429.3268, 230.2644
429.8090, 203.8088
430.2911, 180.5244
430.7732, 160.4722
431.2553, 143.1663
431.7374, 130.1743
432.2195, 120.8013
432.7017, 105.1726
433.1838, 81.88623
433.6659, 59.64648
434.1480, 51.85767
434.6301, 54.90723
435.1122, 49.48047
435.5944, 23.54956
436.0765, 7.717773
436.5586, 17.41309
437.0407, 8.254883
437.5228, 0.9108890
438.0049, 1.866455
438.4871, 12.54102
438.9692, 27.58765
439.4513, 48.58862
439.9334, 67.02759
440.4155, 75.12280
440.8976, 76.61377
441.3798, 78.39844
441.8619, 85.01709
442.3440, 91.16284
442.8261, 95.04028
443.3082, 96.60669
443.7903, 93.93555
444.2725, 81.96875
444.7546, 67.90161
445.2367, 57.71118
445.7188, 53.01465
446.2009, 51.20728
446.6830, 51.84814
447.1652, 55.14600
447.6473, 62.27051
448.1294, 78.17505
448.6115, 92.02466
449.0936, 99.21387
449.5757, 98.89307
450.0579, 94.94629
450.5400, 86.12354
451.0221, 75.15405
451.5042, 66.90991
451.9863, 62.86426
452.4684, 52.52539
452.9506, 27.41895
453.4327, 5.741211
453.9148, 12.13770
454.3969, 10.68286
454.8790, 34.55420
455.3611, 33.01904
455.8433, 12.66748
456.3254, 0.1306150
456.8075, 1.550049
457.2896, 7.181152
457.7717, 4.910400
458.2538, 3.765625
458.7360, 13.93237
459.2181, 22.75244
459.7002, 32.07202
460.1823, 43.92798
460.6644, 58.52661
461.1465, 74.35425
461.6287, 94.35718
462.1108, 113.6345
462.5929, 127.1064
463.0750, 124.7046
463.5571, 125.7839
464.0392, 144.1909
464.5214, 173.0300
465.0035, 187.6196
465.4856, 167.2051
465.9677, 144.3042
466.4498, 134.0781
466.9319, 145.2725
467.4141, 147.6167
467.8962, 134.6472
468.3783, 116.7190
468.8604, 107.2678
469.3425, 112.2930
469.8246, 113.1228
470.3068, 105.2595
470.7889, 90.00562
471.2710, 74.65283
471.7531, 58.66895
472.2352, 44.64893
472.7173, 34.82275
473.1995, 29.08936
473.6816, 24.99658
474.1637, 23.40991
474.6458, 20.68335
475.1279, 6.515381
475.6100, 15.84424
476.0922, 29.04077
476.5743, 11.75195
477.0564, 14.16064
477.5385, 6.640381
478.0206, 32.34766
478.5027, 64.64819
478.9849, 56.43896
479.4670, 28.22217
479.9491, 3.958008
480.4312, 9.064453
480.9133, 19.76660
481.3954, 33.95190
481.8776, 49.32690
482.3597, 61.25269
482.8418, 65.99365
483.3239, 68.96826
483.8060, 71.74072
484.2881, 74.14795
484.7703, 78.31665
485.2524, 88.44824
485.7345, 97.97632
486.2166, 101.7466
486.6987, 96.34058
487.1808, 90.83618
487.6630, 83.89893
488.1451, 77.90942
488.6272, 81.59839
489.1093, 97.59253
489.5914, 115.4905
490.0735, 131.1860
490.5557, 144.6240
491.0378, 155.1248
491.5199, 162.3398
492.0020, 168.0562
492.4841, 178.0574
492.9662, 189.8555
493.4484, 188.9077
493.9305, 163.7688
494.4126, 132.5464
494.8947, 121.7363
495.3768, 129.2871
495.8589, 146.1599
496.3411, 178.7336
496.8232, 210.7666
497.3053, 222.2283
497.7874, 207.7837
498.2695, 195.2332
498.7516, 201.8552
499.2338, 218.2625
499.7159, 233.5820
500.1980, 241.3962
500.6801, 251.2891
