##NAMES=Gustavite
##RRUFFID=R110011
##IDEAL CHEMISTRY=AgPbBi_3_S_6_
##LOCALITY=Rotgulden, Salzburg, Austria
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Black bladed reticulated crystals associated with arsenopyrite, siderite and pyrrhotite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110011
474.4042, 0.8920060
474.8863, 1.181610
475.3684, 1.071884
475.8505, 0.9123690
476.3326, 0.7270430
476.8148, 0.6012340
477.2969, 0.7093200
477.7790, 1.145432
478.2611, 1.695503
478.7432, 1.851021
479.2253, 1.414581
479.7075, 1.133560
480.1896, 1.303047
480.6717, 1.474243
481.1538, 1.330017
481.6359, 0.9349590
482.1180, 0.6305010
482.6002, 0.6968310
483.0823, 1.005203
483.5644, 1.192390
484.0465, 1.234322
484.5286, 1.239326
485.0107, 1.227852
485.4929, 1.217705
485.9750, 1.269585
486.4571, 1.428566
486.9392, 1.444916
487.4213, 0.9675980
487.9034, 0.2659990
488.3856, 2.0264000E-02
488.8677, 0.2370830
489.3498, 0.6720660
489.8319, 1.002762
490.3140, 1.232964
490.7961, 1.467834
491.2783, 1.886620
491.7604, 2.123100
492.2425, 1.888885
492.7246, 1.378288
493.2067, 0.9384610
493.6888, 0.6927800
494.1710, 0.5685960
494.6531, 0.4680480
495.1352, 0.4109420
495.6173, 0.3135600
496.0994, 0.1610790
496.5815, 1.0658000E-02
497.0637, 0.3416820
497.5458, 0.6663820
498.0279, 0.5748060
498.5100, 0.2116930
498.9921, 1.304382
499.4742, 1.661545
499.9564, 0.9172290
500.4385, 0.3589320
500.9206, 0.1577150
501.4027, 0.1997830
501.8848, 0.6013030
502.3669, 1.256233
502.8491, 1.717720
503.3312, 1.489769
503.8133, 0.8900380
504.2954, 0.8941960
504.7775, 1.671890
505.2596, 2.241341
505.7418, 1.964775
506.2239, 1.314362
506.7060, 0.9984820
507.1881, 1.138489
507.6702, 1.251137
508.1523, 0.9450300
508.6345, 0.5195160
509.1166, 0.5720750
509.5987, 1.173668
510.0808, 1.685158
510.5629, 1.566895
511.0450, 0.9033280
511.5272, 0.4960400
512.0093, 0.5043330
512.4914, 0.5374910
512.9735, 0.2852940
513.4556, 7.2967999E-02
513.9377, 0.5345460
514.4199, 1.759460
514.9020, 2.944664
515.3841, 2.967590
515.8662, 1.559357
516.3483, 0.8414380
516.8304, 1.397346
517.3126, 2.050407
517.7947, 2.720947
518.2768, 3.211449
518.7589, 3.199440
519.2410, 2.554848
519.7231, 1.697060
520.2053, 1.263847
520.6874, 1.310791
521.1695, 1.317780
521.6516, 1.036400
522.1337, 0.7443700
522.6158, 0.8437500
523.0980, 1.209396
523.5801, 1.356438
524.0622, 0.9792630
524.5443, 0.4397430
525.0264, 5.1270002E-03
525.5085, 0.2947850
525.9907, 0.1755290
526.4728, 0.6003270
526.9549, 1.528511
527.4370, 1.761559
527.9191, 1.137711
528.4012, 0.9037020
528.8834, 1.606255
529.3655, 2.372604
529.8476, 2.564796
530.3297, 2.298889
530.8118, 2.041832
531.2939, 2.053818
531.7761, 2.159294
532.2582, 1.876030
532.7403, 0.7476580
533.2224, 8.1207000E-02
533.7045, 0.2224350
534.1866, 0.4823680
534.6688, 0.4354170
535.1509, 0.1353910
535.6330, 0.1261830
536.1151, 0.1561740
536.5972, 2.3429999E-02
537.0793, 8.4395997E-02
537.5615, 0.1502300
538.0436, 0.2705920
538.5257, 0.5777050
539.0078, 0.8622510
539.4899, 0.8729550
539.9720, 0.6283260
540.4542, 0.5247800
540.9363, 0.9031680
541.4184, 1.464897
541.9005, 1.815903
542.3826, 1.924843
542.8647, 1.871071
543.3469, 1.657753
543.8290, 1.379547
544.3111, 1.307991
544.7932, 1.603645
545.2753, 1.703354
545.7574, 1.327347
546.2396, 0.8629460
546.7217, 0.5969470
547.2038, 0.5644990
547.6859, 0.7423710
548.1680, 1.141495
548.6501, 1.683060
549.1323, 2.008553
549.6144, 1.975029
550.0965, 1.965988
550.5786, 2.230286
551.0607, 2.377625
551.5428, 1.888443
552.0250, 0.9008330
