##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
370.294, 2911.749
370.776, 2988.006
371.258, 3083.766
371.741, 3175.087
372.223, 3240.746
372.705, 3262.938
373.187, 3295.334
373.669, 3350.895
374.151, 3422.623
374.633, 3470.995
375.115, 3492.227
375.597, 3499.256
376.079, 3499.476
376.562, 3493.049
377.044, 3478.701
377.526, 3455.703
378.008, 3425.735
378.490, 3394.658
378.972, 3363.719
379.454, 3322.292
379.936, 3262.428
380.419, 3186.054
380.901, 3105.469
381.383, 3019.858
381.865, 2935.495
382.347, 2865.354
382.829, 2806.333
383.311, 2742.679
383.793, 2664.506
384.276, 2579.635
384.758, 2504.889
385.240, 2440.389
385.722, 2374.054
386.204, 2284.727
386.686, 2186.338
387.168, 2108.783
387.650, 2065.278
388.132, 2034.713
388.615, 2000.569
389.097, 1962.000
389.579, 1917.364
390.061, 1857.842
390.543, 1795.679
391.025, 1742.014
391.507, 1699.225
391.989, 1663.626
392.471, 1638.679
392.954, 1619.004
393.436, 1595.668
393.918, 1569.127
394.400, 1535.286
394.882, 1488.578
395.364, 1427.106
395.846, 1371.540
396.328, 1328.432
396.810, 1292.501
397.293, 1258.414
397.775, 1226.257
398.257, 1194.877
398.739, 1165.726
399.221, 1138.519
399.703, 1105.766
400.185, 1062.076
400.668, 1017.372
401.150, 976.055
401.632, 932.317
402.114, 903.634
402.596, 898.858
403.078, 906.745
403.560, 898.604
404.042, 868.846
404.524, 835.468
405.007, 804.718
405.489, 776.842
405.971, 750.928
406.453, 727.463
406.935, 704.252
407.417, 677.050
407.899, 645.635
408.381, 619.605
408.863, 603.381
409.346, 594.134
409.828, 582.684
410.310, 568.907
410.792, 553.991
411.274, 542.881
411.756, 532.149
412.238, 507.015
412.720, 456.803
413.203, 406.805
413.685, 395.966
414.167, 416.117
414.649, 434.223
415.131, 428.987
415.613, 411.729
416.095, 393.839
416.577, 376.130
417.060, 363.453
417.542, 360.600
418.024, 363.565
418.506, 366.615
418.988, 369.704
419.470, 370.302
419.952, 364.716
420.434, 354.051
420.916, 349.594
421.398, 356.270
421.881, 368.895
422.363, 384.363
422.845, 406.506
423.327, 426.231
423.809, 440.850
424.291, 452.056
424.773, 464.957
425.255, 480.520
425.738, 497.122
426.220, 514.878
426.702, 534.734
427.184, 551.999
427.666, 565.092
428.148, 577.264
428.630, 593.172
429.112, 615.017
429.595, 633.658
430.077, 644.919
430.559, 650.765
431.041, 665.518
431.523, 691.402
432.005, 717.901
432.487, 738.807
432.969, 754.007
433.451, 759.776
433.934, 753.156
434.416, 742.151
434.898, 740.232
435.380, 746.577
435.862, 754.792
436.344, 765.038
436.826, 774.094
437.308, 775.185
437.790, 767.877
438.273, 756.406
438.755, 739.661
439.237, 722.263
439.719, 712.304
440.201, 719.020
440.683, 727.226
441.165, 724.808
